"","PRJNA701395:dmso:0ug_mL:PA14","PRJNA701395:lomefloxacin:0.3ug_mL:PA14","PRJNA701395:novobiocin:213ug_mL:PA14"
"PA14_01580",-0.0302,-1.2259,0.1667
"PA14_01600",-9.2233,14.4055,30.3924
"PA14_01610",-31.7434,334.1126,205.0587
"PA14_01620",-0.1243,5.1949,3.6864
"PA14_01640",-1.0688,4.7597,3.9139
"PA14_01660",3.3574,60.1638,27.2822
"PA14_01670",0.0065,0.5794,-0.1885
"PA14_01680",0.612,4.643,2.8021
"PA14_01690",-0.2442,3.1042,1.3769
"PA14_01710",-3.4587,14.987,27.172
"PA14_01720",-0.148,1.9609,4.1961
"PA14_01730",0.3225,-0.1338,-0.7715
"PA14_01750",-19.2927,183.339,57.2212
"PA14_01760",2.2051,-24.0673,-15.3806
"PA14_01770",-0.2847,-26.3319,-24.1617
"PA14_01780",0.2837,-4.3156,-7.632
"PA14_01790",-2.9945,10.0681,3.1254
"PA14_01800",-0.3099,1.0247,0.6107
"PA14_01810",-0.1237,-0.3798,-2.731
"PA14_01830",-4.093,51.9112,56.4976
"PA14_01840",-0.555,3.283,2.4699
"PA14_01860",-0.2187,1.7016,1.3566
"PA14_01870",-0.8339,2.3452,2.3132
"PA14_01890",-0.1712,1.0904,0.0301
"PA14_01900",-0.1959,-0.2491,-1.008
"PA14_01910",0.9077,-3.6532,-6.2484
"PA14_01930",0.5238,-0.8214,0.6083
"PA14_01940",-0.2463,0.7419,-1.2481
"PA14_01960",2.313,1.6572,-7.3589
"PA14_01970",-2.1839,4.3404,-8.2028
"PA14_01980",4.359,-2.211,-16.3644
"PA14_01990",0.2592,1.1344,4.3193
"PA14_02010",0.2328,2.5411,1.6101
"PA14_02020",-0.9893,4.21,17.7941
"PA14_02030",0.6231,0.3569,-4.2285
"PA14_02050",0.4317,-0.4508,-3.7849
"PA14_02060",0.0968,3.3045,3.9886
"PA14_02070",17.0281,14.5215,33.0092
"PA14_02090",0.0941,0.9794,-8.1463
"PA14_02100",0.3169,1.6205,-6.9041
"PA14_02110",15.1301,-8.2384,55.6805
"PA14_02130",-0.0389,0.7918,1.6727
"PA14_02140",-4.7904,14.9829,18.5536
"PA14_02150",-0.3277,7.7845,4.6863
"PA14_02180",0.6191,-28.7185,-28.2105
"PA14_02190",0.4542,-8.8669,-9.8972
"PA14_02200",-0.2838,-3.29,-6.5093
"PA14_02220",-0.0713,-5.7461,-7.885
"PA14_02230",-4.1105,-52.2318,-77.1489
"PA14_02250",-0.0564,-4.1901,-6.7228
"PA14_02260",-0.3036,-5.7085,-10.1265
"PA14_02270",-0.6709,-11.1718,-29.7369
"PA14_02290",-2.0474,6.2345,20.5907
"PA14_02300",10.2083,-7.6476,9.5868
"PA14_02310",2.2237,17.6129,14.4096
"PA14_02330",-1.8848,41.4864,40.5976
"PA14_02340",-4.0162,26.558,5.4509
"PA14_02360",-4.9439,30.7506,30.714
"PA14_02370",1.1298,1.7729,-3.1134
"PA14_02380",0.0332,-0.2937,-0.0679
"PA14_02390",-1.5647,6.3063,3.5781
"PA14_02410",-0.248,7.217,4.9185
"PA14_02420",0.663,-0.6147,-0.1389
"PA14_02435",-0.1216,2.7654,-1.5315
"PA14_02450",0.1673,-1.0064,-2.1585
"PA14_02460",-0.169,-0.1195,-0.2891
"PA14_02470",-0.0273,-2.2682,-2.3002
"PA14_02490",0.0186,6.7294,4.4667
"PA14_02500",2.7775,-0.6993,-13.9958
"PA14_02510",9.1742,8.6592,-31.8303
"PA14_02520",-0.5111,-0.014,-0.9696
"PA14_02530",-14.3766,47.5972,45.7124
"PA14_02550",0.1721,10.4684,7.7033
"PA14_02560",-4.0478,17.1555,13.6227
"PA14_02570",0.1198,0.4096,-0.1699
"PA14_02580",0.1158,-2.3184,-1.814
"PA14_02590",-0.1733,0.9221,0.9766
"PA14_02610",0.3449,2.5536,0.2818
"PA14_02620",-0.869,6.9158,2.3442
"PA14_02630",0.389,1.474,-0.4972
"PA14_02640",0.3955,8.3313,1.3934
"PA14_02650",-0.7565,6.2152,16.4601
"PA14_02660",-0.5169,2.8453,2.2815
"PA14_02680",-0.2996,-0.5592,-4.2854
"PA14_02690",1.5902,-5.5136,0.2061
"PA14_02700",0.0654,-1.2813,0.447
"PA14_02720",-0.2993,1.5475,0.2696
"PA14_02730",0.0836,0.8085,-0.0336
"PA14_02740",0.1375,0.3772,1.0897
"PA14_02750",-0.8845,3.932,5.0977
"PA14_02760",1.6601,-9.4567,8.5848
"PA14_02770",-0.2762,0.1098,-0.1879
"PA14_02790",-0.0115,-1.095,-0.9395
"PA14_02810",0.0622,-0.7232,-1.6649
"PA14_02830",-0.631,-2.3969,-5.5031
"PA14_02840",-0.0128,-0.2133,-0.5609
"PA14_02850",-1.5085,1.1527,-15.1553
"PA14_02870",-1.5791,-1.2975,-7.7112
"PA14_02890",-0.0689,0.7824,-0.4153
"PA14_02900",-1.4689,-5.4528,-8.7241
"PA14_02910",-0.4793,-7.0258,-16.608
"PA14_02930",-0.0459,-1.6407,-4.9943
"PA14_02960",0.0493,-1.6075,-3.7354
"PA14_02970",-0.4844,-0.3711,-4.0113
"PA14_02980",0.9409,-2.7345,-2.3152
"PA14_02990",0.006,-2.0752,-3.0683
"PA14_03000",0.3334,-1.2246,-1.2642
