"","PRJNA701395:dmso:0ug_mL:PA14","PRJNA701395:lomefloxacin:0.3ug_mL:PA14","PRJNA701395:novobiocin:213ug_mL:PA14"
"PA14_17250",-0.0502,1.1119,5.58
"PA14_17260",-0.7298,7.7701,15.8434
"PA14_17270",0.3326,-2.5548,1.0818
"PA14_17280",2.6053,-47.3721,-8.5904
"PA14_17290",-2.4675,15.5515,39.0446
"PA14_17310",0.0054,2.5809,6.4796
"PA14_17320",7.4118,-8.8388,90.0738
"PA14_17330",-1.3633,4.176,3.6111
"PA14_17340",3.6344,5.9245,84.2981
"PA14_17350",0.202,0.1713,-1.0972
"PA14_17370",-0.0593,1.8708,1.9476
"PA14_17380",1.2796,2.267,-0.9037
"PA14_17400",0.1279,3.1059,-11.9878
"PA14_17410",0.0261,1.1228,-0.4303
"PA14_17420",0.0206,7.7865,4.1867
"PA14_17440",0.0794,2.3397,1.7247
"PA14_17450",0.7202,2.9785,-0.3407
"PA14_17460",0.3125,7.8954,1.2448
"PA14_17470",0.3128,-0.0365,-19.6845
"PA14_17480",-1.1901,-11.2952,-35.479
"PA14_17490",0.0377,2.272,5.3432
"PA14_17500",0.0592,2.814,7.0507
"PA14_17510",0.194,2.9609,0.5864
"PA14_17520",1.1017,7.537,-13.7968
"PA14_17530",-0.173,79.1056,35.0673
"PA14_17540",0.8771,51.8134,18.9077
"PA14_17550",-12.1861,-22.5282,-107.6276
"PA14_17570",-0.6847,-0.2464,-2.4261
"PA14_17580",-2.0326,4.0347,-0.2176
"PA14_17590",0.0185,2.1712,5.351
"PA14_17600",-0.064,11.1471,14.067
"PA14_17610",-0.314,1.3739,4.7143
"PA14_17620",-0.0124,-0.1106,3.198
"PA14_17630",-0.2679,-1.2158,0.9956
"PA14_17640",1.0833,1.084,117.6055
"PA14_17650",0.2107,3.1862,11.3324
"PA14_17660",-0.893,2.7768,-1.5403
"PA14_17670",-0.2799,-1.2492,-3.3746
"PA14_17675",0.0615,-0.4021,-1.5713
"PA14_17690",2.8901,-8.2192,-5.936
"PA14_17700",17.5278,-36.6664,-33.3222
"PA14_17710",22.4936,-48.3889,-44.4345
"PA14_17720",0.0508,0.5661,-0.6453
"PA14_17730",0.2327,1.0645,-1.5013
"PA14_17740",0.1305,-0.1321,-0.1216
"PA14_17760",-0.6029,-2.3928,-5.1826
"PA14_17780",-0.0382,1.378,-1.8393
"PA14_17790",-0.1581,0.5825,1.4443
"PA14_17810",-1.2309,7.5655,0.9216
"PA14_17820",0.0842,-0.3548,-1.7322
"PA14_17850",18.4322,-8.5142,-28.6825
"PA14_17860",-0.0148,1.9068,-0.3944
"PA14_17880",-1.0693,5.2547,-0.5832
"PA14_17890",0.0577,-1.0026,-1.9972
"PA14_17900",-3.4717,-1.8416,-32.5321
"PA14_17910",-0.5765,1.2623,-1.5376
"PA14_17920",0.4195,1.5321,3.127
"PA14_17930",-6.1048,-17.6483,50.2729
"PA14_17940",0.1769,-5.975,1.0761
"PA14_17960",0.1055,-5.6397,-1.0473
"PA14_17980",0.012,-1.0737,-3.8601
"PA14_17990",-0.5006,0.9538,6.7389
"PA14_18010",-0.1215,-2.1002,3.5366
"PA14_18020",0.2686,0.8809,1.0567
"PA14_18040",0.1243,1.6711,0.9343
"PA14_18050",1.0587,4.1044,3.7101
"PA14_18060",-0.3954,1.0864,12.2321
"PA14_18070",-1.8534,2.2129,2.33
"PA14_18080",0.0266,-0.1437,1.152
"PA14_18090",-0.5154,13.1122,32.2438
"PA14_18100",-1.0341,-1.961,-0.0932
"PA14_18110",4.2841,-6.7264,6.0862
"PA14_18120",-19.5471,-10.5292,30.1576
"PA14_18140",-0.4303,-4.2643,-1.1362
"PA14_18150",0.1285,-3.5677,-5.9219
"PA14_18160",-0.0588,2.4802,7.8008
"PA14_18180",-7.8124,17.2049,71.9168
"PA14_18200",0.0356,0.0658,-2.7445
"PA14_18210",2.398,-7.4729,-11.5006
"PA14_18230",-0.4889,-6.0161,-4.8164
"PA14_18250",-0.3002,0.4063,0.9752
"PA14_18260",-0.7848,-5.3986,5.6663
"PA14_18275",7.7604,-17.0575,-9.7106
"PA14_18300",0.1715,-5.4799,-8.209
"PA14_18310",-3.1372,-1.4169,-7.1058
"PA14_18320",0.1426,-2.7552,-2.0964
"PA14_18330",-0.2819,-2.9062,-4.9212
"PA14_18340",-0.119,-6.6608,-12.0242
"PA14_18350",1.2137,-4.4845,-8.145
"PA14_18360",1.8581,-8.0974,-13.2995
"PA14_18370",0.461,-2.4484,-6.2305
"PA14_18380",0.1487,2.5108,2.9166
"PA14_18410",0.2658,-0.2179,6.103
"PA14_18430",-1.6549,3.0606,-1.0333
"PA14_18450",-0.2596,0.4549,-0.969
"PA14_18470",-1.2086,3.5108,0.8016
"PA14_18480",-1.0693,6.3205,0.5534
"PA14_18500",0.1857,0.1574,-0.2551
"PA14_18510",-2.5509,-23.6983,-129.7582
"PA14_18520",0.0563,1.2335,-0.8782
"PA14_18550",0.7869,4.6778,-1.1021
"PA14_18565",-0.723,3.5254,-0.3429
"PA14_18580",0.3157,9.5459,-0.4222
"PA14_18590",0.4922,0.6693,5.0347
"PA14_18600",-0.3788,-1.9618,3.7642
"PA14_18610",-0.6608,0.4315,-1.843
"PA14_18620",-0.3702,8.0707,-3.4889
"PA14_18630",-0.0063,-2.6237,-1.9984
"PA14_18640",0.3454,1.2689,-1.694
"PA14_18650",-0.0227,0.5884,2.1595
"PA14_18660",-14.3691,16.6183,-1.1047
"PA14_18670",0.6977,-0.4857,3.7787
"PA14_18680",-0.5164,0.8909,0.2346
"PA14_18690",1.0768,-22.2149,97.7984
"PA14_18700",-0.0049,5.0732,14.6513
"PA14_18710",28.3744,409.0703,500
"PA14_18720",0.1041,-8.7682,-5.972
"PA14_18740",0.782,-0.4127,7.8065
"PA14_18750",0.6745,6.1427,24.8911
"PA14_18760",-1.2788,0.8001,0.3328
"PA14_18780",-0.7692,0.8399,0.2181
"PA14_18790",-0.8587,0.7387,-0.7839
"PA14_18800",-1.752,0.3902,-1.7621
"PA14_18810",-22.4451,11.6147,-3.719
"PA14_18820",-0.9702,-0.6541,-0.2704
"PA14_18830",-1.0607,0.2039,-0.8111
"PA14_18850",-0.4388,-0.2403,-0.732
"PA14_18860",-1.0161,0.0037,-1.7413
"PA14_18870",-0.2295,0.9415,-1.1772
"PA14_18880",0.0838,-0.3064,3.4384
"PA14_18890",1.661,-2.204,8.7607
"PA14_18900",0.8404,-6.8096,30.8218
"PA14_18910",1.4701,-4.7997,11.6065
"PA14_18920",-0.0573,-0.4153,5.83
"PA14_18930",-0.1576,-0.3837,3.1141
"PA14_18950",-1.156,3.9656,8.6502
"PA14_18960",-0.0098,2.6676,1.3891
"PA14_18970",-0.1136,5.4699,1.6665
"PA14_18985",3.747,38.1376,0.696
"PA14_19010",-0.1858,13.3644,10.4462
"PA14_19020",-8.5455,172.5385,163.0555
"PA14_19030",-0.4014,9.9299,25.2148
"PA14_19050",0.1877,3.1248,6.3957
"PA14_19065",0.1698,2.9911,9.4571
"PA14_19090",-0.112,0.666,4.5635
"PA14_19100",7.3789,-254.6114,-488.8792
"PA14_19110",-0.4393,-11.6153,-27.9408
"PA14_19120",0.0056,-4.7112,-13.1673
"PA14_19130",0.4283,-3.5771,-4.822
"PA14_19140",32.9202,-124.3326,26.1334
"PA14_19150",-0.003,0.1559,0.9212
"PA14_19160",-0.1637,2.9729,-1.5352
"PA14_19170",1.5352,-1.13,10.0015
"PA14_19190",-0.1248,1.347,-1.0133
"PA14_19205",-10.6459,-25.3051,26.4208
"PA14_19210",-0.8398,3.1103,16.2104
"PA14_19230",-2.9603,-16.1437,-7.9668
"PA14_19270",-0.1052,-1.6933,-3.73
"PA14_19290",-0.0759,4.0144,2.8347
"PA14_19310",-24.6797,-99.9676,-332.2399
"PA14_19320",5.7711,0.8027,10.208
"PA14_19330",1.0765,-0.5441,-5.9335
"PA14_19340",-0.1047,-10.4585,-23.5344
"PA14_19350",0.6576,-2.5442,-2.6178
"PA14_19360",0.0314,-0.1181,-0.2415
"PA14_19370",1.5769,4.8003,-5.5789
"PA14_19380",-0.9554,0.262,-1.1306
"PA14_19390",0.287,-0.8129,-1.5639
"PA14_19400",-0.0959,0.0313,10.4211
"PA14_19410",0.524,-6.8397,-10.9258
"PA14_19430",0.6611,-2.7556,-4.8246
"PA14_19450",-0.025,1.2721,-3.9085
"PA14_19470",-0.3259,3.8003,5.7748
"PA14_19480",-1.4828,-4.2204,-22.4548
"PA14_19490",-0.8359,5.3077,3.3911
"PA14_19500",0.2937,4.6976,3.2064
"PA14_19510",-0.9496,20.0312,2.9348
"PA14_19520",0.7055,3.1156,-2.0354
"PA14_19530",-2.654,26.5313,17.6185
"PA14_19540",0.1418,3.3547,1.4234
"PA14_19560",-0.0431,3.3124,1.0094
"PA14_19570",-0.7433,11.7286,5.296
"PA14_19580",-0.2947,3.7043,0.0437
"PA14_19590",0.697,9.8578,-3.9475
"PA14_19600",0.0688,-0.6459,2.1116
"PA14_19610",-0.0573,-1.1597,7.82
"PA14_19620",0.3275,-2.2193,-1.1307
"PA14_19630",-0.0332,-1.3736,-0.1975
"PA14_19640",2.253,-5.3487,-12.7839
"PA14_19650",0.2972,0.863,3.415
"PA14_19660",-5.8105,18.6465,66.5378
"PA14_19670",-1.0001,4.3218,-8.4686
"PA14_19680",-1.1471,0.2429,0.7068
"PA14_19690",-0.3988,7.3052,4.535
"PA14_19700",0.1848,-0.5188,-1.9835
"PA14_19710",-0.7456,-4.4254,-13.8594
"PA14_19720",-0.0782,-4.2951,-6.4523
"PA14_19730",0.0426,0.8727,-0.4896
"PA14_19740",0.4048,-16.0145,-45.5608
"PA14_19750",-2.7483,2.181,20.5658
"PA14_19770",-0.4349,-0.1159,2.0387
"PA14_19800",-0.1652,-0.5343,-0.6602
"PA14_19810",0.2402,-0.7367,-2.9823
"PA14_19830",-0.4283,1.7357,-2.2398
"PA14_19850",20.2023,-6.0195,-51.9331
"PA14_19860",0.2363,-3.1467,-4.2945
"PA14_19870",-0.346,-1.3461,-10.3306
"PA14_19900",-0.2889,-4.2692,-7.8354
"PA14_19910",0.2184,0.0273,-4.4648
"PA14_19920",16.488,-34.3393,-53.0287
"PA14_19930",-3.0713,60.5278,24.4171
"PA14_19940",-8.4059,500,312.1985
"PA14_19950",0.3358,26.6041,11.2799
"PA14_19960",-0.2411,1.4555,0.6675
"PA14_19970",0.0925,1.0531,-0.3079
"PA14_19990",-0.0635,1.0142,0.581
"PA14_20000",0.0786,0.7229,0.3265
"PA14_20010",-1.1914,6.7073,1.1337
"PA14_20020",-0.7894,4.1705,0.4118
"PA14_20030",-0.6493,-3.7581,-3.2733
"PA14_20040",-0.6367,-0.5577,0.8234
"PA14_20050",1.0111,1.152,-1.9727
"PA14_20060",-1.6302,88.418,8.55
"PA14_20070",1.6934,2.5059,-0.8759
"PA14_20080",11.3293,-28.2049,-2.2253
"PA14_20100",2.2219,-4.859,-1.6921
"PA14_20110",4.0293,-0.8942,-1.0224
"PA14_20120",-0.6242,-6.5773,-12.6762
"PA14_20130",1.3657,13.4529,27.9797
"PA14_20140",0.3329,0.8622,10.4483
"PA14_20150",0.5523,-1.7973,-3.3264
"PA14_20170",0.2372,3.0099,3.791
"PA14_20180",0.2994,1.7708,0.9031
"PA14_20190",-0.5732,0.7582,-2.3415
"PA14_20200",-0.0334,-0.0491,-1.3114
"PA14_20230",-0.0644,0.2107,-0.2448
"PA14_20240",-0.367,-1.0836,-1.6401
"PA14_20250",-0.0924,2.1458,-1.4408
"PA14_20260",-1.9902,22.5219,6.5299
"PA14_20270",-1.2799,-5.8548,3.6479
"PA14_20280",-4.3571,-4.4649,4.4466
"PA14_20290",2.1692,-3.6478,-2.9394
"PA14_20300",-0.2582,0.196,-1.5869
"PA14_20320",3.0482,4.2555,-7.3336
"PA14_20330",0.656,-2.8046,-1.632
"PA14_20350",1.6792,-4.1762,-4.3279
"PA14_20360",1.2452,-3.6133,-1.7351
"PA14_20370",0.1181,0.221,-0.4421
"PA14_20380",-0.1487,0.0087,-0.6425
"PA14_20390",0.7819,-5.06,-2.4579
"PA14_20400",0.4969,-0.7073,-2.1365
"PA14_20420",-0.0957,1.1608,-0.0291
"PA14_20430",5.3183,-45.5638,-199.9292
"PA14_20440",-0.044,-15.418,-57.8539
"PA14_20450",-0.2192,-2.0349,-4.1086
"PA14_20460",0.043,0.6348,2.0985
"PA14_20470",0.3142,0.1997,4.1045
"PA14_20480",-0.0521,0.3178,1.8829
"PA14_20491",0.636,-1.1022,-0.5969
"PA14_20510",5.2302,-23.0184,-8.484
"PA14_20520",-0.9177,-1.9374,0.2035
"PA14_20530",-0.3463,-7.3345,2.9549
"PA14_20550",0.2462,3.2989,0.0574
"PA14_20560",-0.4778,-1.0203,0.5131
"PA14_20570",0.0621,-1.1961,-0.8382
"PA14_20580",0.047,-5.29,-5.6623
"PA14_20590",0.6879,-8.9065,-2.1329
"PA14_20600",0.1821,-9.8506,-8.8069
"PA14_20610",-0.6999,-9.1358,-77.246
"PA14_20620",-5.6634,0.7623,-3.3204
"PA14_20630",-4.2543,3.7999,-3.9593
"PA14_20640",-0.0239,-1.3819,-2.411
"PA14_20650",6.1349,-13.7955,-36.733
"PA14_20670",0.431,0.567,-4.2665
"PA14_20680",-5.5112,3.0177,-18.3977
"PA14_20690",0.1308,-1.3198,-6.1786
"PA14_20700",-0.4444,-12.9618,4.5674
"PA14_20720",0.639,-9.6889,2.9328
"PA14_20730",-3.8301,-12.4011,13.1436
"PA14_20740",-4.338,8.8186,2.0839
"PA14_20750",0.2338,-4.1721,-1.3119
"PA14_20760",10.8026,-188.0042,-14.9764
"PA14_20770",-0.3246,-5.3288,-9.6881
"PA14_20780",-1.5953,-24.3215,-56.6588
"PA14_20800",-0.2164,-0.0126,-2.6386
"PA14_20810",-0.0281,9.6132,29.8179
"PA14_20820",-7.6987,-139.7123,-96.004
"PA14_20840",-0.0112,-2.0383,-1.8645
"PA14_20850",-1.3612,0.2636,-4.9815
"PA14_20860",13.1622,144.5596,-500
"PA14_20870",-0.602,5.7176,21.3414
"PA14_20880",0.4226,1.3506,-8.1794
"PA14_20890",-0.932,-1.0209,-2.0221
"PA14_20900",0.2943,9.038,9.9648
"PA14_20920",-0.3756,15.6769,7.8689
"PA14_20940",0.1366,7.389,3.6096
"PA14_20950",3.9459,67.7881,35.5247
"PA14_20960",0.0539,7.768,7.8938
"PA14_20970",0.0042,3.2341,3.5948
"PA14_20980",-2.4037,46.4282,38.1904
"PA14_21000",-1.2546,173.0228,132.024
"PA14_21010",0.211,14.2906,10.6283
"PA14_21020",-1.7608,12.6359,13.9825
"PA14_21030",0.6964,-8.8878,-5.7626
"PA14_21040",0.3197,-1.592,-0.2628
"PA14_21050",-1.0327,8.6162,13.2626
"PA14_21060",0.6579,-3.1883,3.4814
"PA14_21070",-0.0154,0.3946,-2.6292
"PA14_21080",-0.0617,-0.2118,1.4002
"PA14_21090",-0.1102,0.3716,0.6043
"PA14_21110",0.1844,1.3568,-2.3503
"PA14_21120",-2.5405,56.3745,34.742
"PA14_21130",0.1034,9.4175,1.4717
"PA14_21140",-0.0021,-0.9588,-0.0427
"PA14_21150",-0.0129,-0.4511,0.3238
"PA14_21160",-1.5474,-6.9181,-1.3815
"PA14_21175",-0.4947,-7.7253,-3.0137
"PA14_21180",-0.5494,2.713,-5.7072
"PA14_21190",-0.072,-6.4741,-18.8272
"PA14_21210",0.1117,-1.4944,-2.419
"PA14_21220",-0.0659,-0.5735,-0.5957
"PA14_21230",0.0089,1.0422,13.0949
"PA14_21240",-0.1183,-1.8662,-1.329
"PA14_21250",3.6554,-2.2268,30.7787
"PA14_21260",-0.1022,-0.4417,-0.5106
"PA14_21280",-1.6393,-4.2389,12.2622
"PA14_21290",0.7768,-7.652,6.7246
"PA14_21300",-0.2977,1.1526,0.5252
"PA14_21310",0.0187,-0.485,3.7518
"PA14_21320",5.9318,7.316,22.9953
"PA14_21340",0.1032,-2.7935,-2.1459
"PA14_21370",0.0706,-3.0949,7.2696
"PA14_21380",-0.1406,-16.6953,47.9342
"PA14_21400",-0.4815,1.6618,6.5857
"PA14_21410",0.0479,-0.1982,-0.8892
"PA14_21440",0.0938,-3.0189,-13.7267
"PA14_21450",0.3404,12.2512,-6.4837
"PA14_21460",-6.0015,75.2081,-1.6697
"PA14_21470",0.6692,4.4506,-2.4626
"PA14_21480",-0.1652,2.8487,-0.7122
"PA14_21490",-0.0601,0.6605,-0.8798
"PA14_21510",-0.0372,-0.6366,-8.0037
"PA14_21520",0.1516,0.3596,0.2066
"PA14_21530",2.5218,-8.8134,-32.1414
"PA14_21540",0.1313,-0.9124,-1.4756
"PA14_21550",-0.5649,-0.5946,-6.3431
"PA14_21560",-0.2049,0.2825,-1.3881
"PA14_21570",-0.084,0.6278,2.2396
"PA14_21580",0.6163,2.1422,5.4682
"PA14_21590",-0.2352,1.201,2.6599
"PA14_21600",-0.2215,0.4644,-0.0296
"PA14_21610",0.6123,-3.8446,-4.1295
"PA14_21620",-3.1256,2.9056,-5.6813
"PA14_21630",-23.1473,-16.5889,-21.1263
"PA14_21640",0.3097,0.0154,-1.6565
"PA14_21650",-0.4948,0.1759,-4.4208
"PA14_21660",-0.3708,-1.3591,-11.3139
"PA14_21670",-0.0564,-0.0647,-1.5246
"PA14_21680",0.1157,-0.3363,-1.7807
"PA14_21690",57.9215,500,271.6968
"PA14_21700",10.5769,44.7784,69.7356
"PA14_21710",0.1292,1.5578,-0.4461
"PA14_21720",-0.0932,0.3689,1.1765
"PA14_21730",-0.2237,1.5082,0.8934
"PA14_21750",0.2017,2.3159,0.6748
"PA14_21760",64.2521,5.9275,-235.7718
"PA14_21770",0.0221,2.4884,-4.7854
"PA14_21780",0.8,0.2559,-0.1095
"PA14_21790",0.2668,-0.367,2.8587
"PA14_21820",1.5996,-3.9263,-13.2691
"PA14_21830",9.2146,23.0999,-17.8158
"PA14_21840",-3.2563,-52.2663,-143.5961
"PA14_21850",-0.306,4.5872,1.6053
"PA14_21860",3.6812,5.3814,3.3827
"PA14_21870",-0.2237,-0.5958,0.5187
"PA14_21880",-0.6263,-1.0531,-0.8229
"PA14_21890",-0.2188,-1.9062,-4.5025
"PA14_21900",-0.3597,-2.5489,1.9473
"PA14_21910",-0.238,-1.3886,-2.651
"PA14_21920",-0.0601,-5.2795,-9.0771
"PA14_21930",-0.1432,-1.7237,-3.9499
"PA14_21940",-42.152,-219.7855,-500
"PA14_21960",0.0144,-2.3323,-4.5496
"PA14_21970",-0.5442,-6.9311,-21.7625
"PA14_21980",0.3772,-1.96,-7.024
"PA14_21990",0.15,2.016,12.9133
"PA14_22000",-9.8535,11.181,154.3574
"PA14_22010",-0.2722,-0.6421,2.9726
"PA14_22020",-0.2467,0.9867,5.5238
"PA14_22040",0.1632,1.5837,2.6347
"PA14_22050",-0.0131,0.6141,3.2662
"PA14_22060",-0.1787,-0.4539,5.2402
"PA14_22075",-0.3127,0.6907,-0.9239
"PA14_22080",-5.4811,13.1729,228.5159
"PA14_22090",2.4963,-2.877,0.9594
"PA14_22100",-1.2256,1.8751,5.7177
"PA14_22110",0.0634,-1.2782,0.8769
"PA14_22120",0.4605,-5.0104,-3.5393
"PA14_22130",0.2574,-0.2161,0.2681
"PA14_22140",-0.1435,-1.6546,-1.7305
"PA14_22160",-0.0385,-0.4198,-0.1001
"PA14_22180",-0.2551,0.2582,2.9159
"PA14_22190",-0.1792,-0.4955,3.3301
"PA14_22210",-0.129,-0.2259,-3.8503
"PA14_22220",0.2135,2.2028,-0.5571
"PA14_22230",-0.5128,0.9727,1.6413
"PA14_22240",0.2771,1.9596,0.417
"PA14_22250",0.9945,-2.6656,1.5873
"PA14_22260",-0.6218,-1.1193,11.6436
"PA14_22270",-0.231,-3.4076,-1.7467
"PA14_22280",0.9448,-9.9771,-8.2076
"PA14_22290",-0.4454,-2.6465,-8.4038
"PA14_22310",23.0325,-8.9627,-372.0069
"PA14_22320",-0.4256,3.2884,5.978
"PA14_22330",0.6627,-2.0285,1.2861
"PA14_22340",-2.4105,72.7859,156.3135
"PA14_22350",-0.7493,-1.0497,9.4745
"PA14_22370",0.3545,0.5811,-7.4769
"PA14_22380",0.2158,-8.8956,1.8489
"PA14_22400",0.3282,-1.807,-0.3071
"PA14_22410",0.0621,0.2769,-3.5902
"PA14_22420",0.0251,2.1988,0.892
"PA14_22440",0.1317,-1.4918,-2.2826
"PA14_22450",-1.4559,-0.3011,2.0455
"PA14_22460",-0.821,-1.158,-3.1123
"PA14_22470",-0.1988,2.4437,-3.1206
"PA14_22480",-3.3408,-8.3617,-35.7965
"PA14_22490",0.3566,-3.6001,-8.3412
"PA14_22500",-0.1713,1.4639,-5.4038
"PA14_22510",0.1994,1.4194,-0.1372
"PA14_22520",-7.7485,-13.307,-49.4916
"PA14_22530",-0.6445,4.3611,-0.6315
"PA14_22540",-2.1937,3.3069,0.1791
"PA14_22550",-0.073,2.9671,-0.4789
"PA14_22560",0.2224,-3.9835,-0.1737
"PA14_22570",0.2961,-5.1412,0.2511
"PA14_22580",-0.3417,1.6504,-2.4019
"PA14_22590",0.0229,3.8482,0.0366
"PA14_22600",0.1054,6.0839,0.5747
"PA14_22620",-0.4071,-15.437,-7.2499
"PA14_22630",0.3258,-20.4688,-15.9335
"PA14_22640",-0.5138,6.9812,-8.4447
"PA14_22650",0.3635,-2.1643,-0.7952
"PA14_22660",0.2122,-1.575,3.8139
"PA14_22670",1.0903,4.905,1.4406
"PA14_22680",-1.4399,3.1762,8.0622
"PA14_22690",-0.3943,2.5855,30.8381
"PA14_22700",0.2896,-0.7322,2.1303
"PA14_22710",0.1696,-1.5396,1.7223
"PA14_22720",0.1233,-3.9736,2.6382
"PA14_22730",-0.1463,2.7438,39.783
"PA14_22740",0.9228,12.921,183.0115
"PA14_22760",-1.084,2.7709,21.5884
"PA14_22770",0.3852,-2.2056,10.3146
"PA14_22780",0.0889,0.1746,14.9594
"PA14_22800",-0.9117,1.2881,16.716
"PA14_22820",0.4135,4.2933,25.6984
"PA14_22830",-0.0357,-0.011,10.893
"PA14_22840",0.5138,-1.4202,4.207
"PA14_22860",1.5317,-4.3964,12.7814
"PA14_22870",0.539,-1.069,6.1622
"PA14_22880",25.6529,319.7546,247.428
"PA14_22890",0.2984,-2.8632,2.0532
"PA14_22910",0.0457,-2.2382,6.5294
"PA14_22930",-1.3402,-26.6407,22.5118
"PA14_22940",-0.6207,-9.8878,5.6332
"PA14_22960",-3.7184,-165.2482,96.2676
"PA14_22980",0.0513,-11.1928,-4.5058
"PA14_22990",0.391,-14.7986,-5.1616
"PA14_23000",0.6109,-18.2077,-5.5217
"PA14_23010",0.2137,-14.3224,-4.3105
"PA14_23030",-0.4867,-17.1504,-6.0739
"PA14_23050",0.0842,-23.6193,-14.3471
"PA14_23060",-1.1583,-10.9743,-91.5611
"PA14_23070",0.1063,1.486,-4.4258
"PA14_23080",-0.0501,-0.0673,-4.234
"PA14_23090",0.0929,-2.9163,-3.1741
"PA14_23100",-0.3829,7.0401,-19.5312
"PA14_23110",0.2448,-2.7067,-1.3229
"PA14_23120",-4.402,28.8619,-63.6774
"PA14_23130",-0.0376,1.5286,-0.0522
"PA14_23160",0.1981,-0.2161,-0.5601
"PA14_23170",-0.9932,3.8221,0.843
"PA14_23190",-1.3616,16.9816,12.8535
"PA14_23200",0.8139,-2.5094,9.1134
"PA14_23210",0.0562,-0.688,8.5625
"PA14_23220",-0.8069,3.024,19.3046
"PA14_23240",-0.1617,3.0939,25.9348
"PA14_23250",-2.0722,7.2694,41.7351
"PA14_23260",0.1745,0.9357,13.8887
"PA14_23270",0.6782,-1.1856,30.1297
"PA14_23280",0.2612,-21.9413,122.1052
"PA14_23290",-0.0921,-1.7531,19.1105
"PA14_23310",-1.5698,-1.7833,36.2894
"PA14_23320",0.0483,-1.3149,2.8089
"PA14_23330",0.5122,5.6379,95.2607
"PA14_23340",0.2264,14.9324,-1.2927
"PA14_23350",-0.1984,-1.5478,-5.3892
"PA14_23360",-1.1596,-9.6704,-13.2932
"PA14_23370",0.2466,-1.4988,-0.8197
"PA14_23380",-3.1119,-13.8481,-18.6792
"PA14_23390",-3.6851,-7.6519,-12.4881
"PA14_23400",-0.1751,-13.705,-14.5899
"PA14_23410",-0.438,-6.0613,-9.6795
"PA14_23420",0.0324,-3.6834,-9.2477
"PA14_23430",-0.2178,-2.8948,-4.8866
"PA14_23440",-2.7794,-9.1566,-12.1026
"PA14_23450",42.7577,-93.5671,-11.1509
"PA14_23460",0.494,-1.359,-1.1818
"PA14_23470",3.3317,-16.872,-15.558
"PA14_23480",0.1303,-1.5876,2.2679
"PA14_23500",9.7921,-101.957,67.9654
"PA14_23510",0.0752,-2.7501,-1.2756
"PA14_23520",0.887,0.1257,-8.489
"PA14_23530",-0.1898,-1.6166,-4.3745
"PA14_23540",-8.8594,-69.0725,-36.216
"PA14_23560",2.7527,1.0557,53.6705
"PA14_23590",0.5601,1.9968,3.1666
"PA14_23610",-1.9316,32.9399,54.2443
"PA14_23620",0.382,1.0615,-1.4716
"PA14_23630",-0.5906,0.0746,-11.9083
"PA14_23640",-0.123,-1.7615,1.1792
"PA14_23650",3.6651,-13.7352,-5.8792
"PA14_23670",-0.0368,-0.7714,0.9176
"PA14_23680",-0.5618,44.9312,31.8127
"PA14_23690",0.0053,-1.4526,1.928
"PA14_23700",0.2656,2.1054,1.4549
"PA14_23720",-0.0335,-0.4922,-2.4151
"PA14_23730",31.9008,-145.8627,29.2113
"PA14_23750",21.7218,274.3551,475.1204
"PA14_23760",1.2662,8.0485,14.1406
"PA14_23770",-0.1101,0.6839,2.5577
"PA14_23790",-1.0119,1.6101,7.3642
"PA14_23800",-0.0562,-0.7479,3.4364
"PA14_23810",0.005,0.1496,4.3057
"PA14_23830",-0.0093,-5.9436,2.2707
"PA14_23840",0.377,-9.6283,6.5814
"PA14_23850",3.0856,5.4932,13.9278
"PA14_23860",-0.1819,-4.318,5.2573
"PA14_23880",0.4903,-10.5702,3.6143
"PA14_23890",0.3556,-11.9281,1.047
"PA14_23900",-0.6371,1.874,23.3298
"PA14_23920",-0.5806,-12.3625,200.0056
"PA14_23930",-0.0575,-2.5543,27.1922
"PA14_23950",0.1421,-1.1476,4.3326
"PA14_23970",0.4691,-25.8906,-14.741
"PA14_23980",-0.0714,-4.3281,-9.463
"PA14_23990",10.9064,-128.4325,-196.2763
"PA14_24010",1.5817,-50.5401,-60.0697
"PA14_24020",33.3616,-347.0839,-216.6242
"PA14_24040",0.7282,-23.0554,-23.7651
"PA14_24050",0.6179,-14.7538,-12.2406
"PA14_24060",-0.0602,-4.7221,-4.3282
"PA14_24070",0.1959,-6.2018,-5.2164
"PA14_24080",-2.2048,-34.4363,-42.7297
"PA14_24100",0.1797,-6.1297,-6.6286
"PA14_24140",-0.0605,0.4192,2.5277
"PA14_24150",2.1347,11.3627,19.4562
"PA14_24170",-0.0333,0.6113,5.1035
"PA14_24180",-1.4255,-76.509,-106.4339
"PA14_24190",1.1754,-8.9889,-3.9257
"PA14_24210",-1.8644,-19.0843,-65.3272
"PA14_24220",-0.7674,-0.7611,2.3052
"PA14_24230",0.1065,-1.744,-0.4121
"PA14_24240",18.4137,-72.1617,19.0868
"PA14_24245",-2.3644,-4.5453,28.8314
"PA14_24260",0.2912,-0.3408,4.5542
"PA14_24270",-19.4787,16.9465,254.8423
"PA14_24290",-0.1497,-10.5844,39.7591
"PA14_24300",-0.9322,-25.7788,98.1075
"PA14_24310",-0.0659,-0.0315,5.4972
"PA14_24330",-0.4945,-9.7835,21.719
"PA14_24340",0.0011,-0.5551,-3.5786
"PA14_24350",2.8263,1.8166,-99.5077
