"","MOCP_0110:ara:0.50000%:PA14_c26:270min:A","MOCP_0110:ara:0.12500%:PA14_c26:270min:A","MOCP_0110:ara:0.03125%:PA14_c26:270min:A","MOCP_0110:ara:0.00000%:PA14_c26:270min:A","MOCP_0110:ara:0.50000%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.12500%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.03125%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.00000%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.50000%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.12500%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.03125%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.00000%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.50000%:PA14_lpxC_c165:270min:A","MOCP_0110:ara:0.12500%:PA14_lpxC_c165:270min:A","MOCP_0110:ara:0.03125%:PA14_lpxC_c165:270min:A","MOCP_0110:ara:0.00000%:PA14_lpxC_c165:270min:A"
"PA14_00010",0.1366,0.782,0.2696,0.6869,1.906,1.3945,1.218,0.0781,-1.7424,-3.4127,-2.6898,-2.5411,-2.3912,-3.6591,-1.1442,-3.6538
"PA14_00020",-0.4348,0.1425,-0.5592,0.1633,0.429,0.422,0.3528,0.2225,-1.7465,-2.0683,-2.0466,-1.719,-1.6543,-2.3624,-0.8499,-1.0704
"PA14_00030",-1.3215,-0.7711,-0.3401,0.032,-0.7067,-1.0603,-0.4956,-1.6444,-2.1731,-2.4096,-2.2099,-2.2829,-2.8249,-2.8183,-2.2419,-2.3862
"PA14_00050",-0.6195,0.3917,-0.0168,1.7041,-0.2421,-1.0527,-1.4486,-0.9138,-4.5997,-5.4619,-4.8779,-5.859,-4.5837,-4.9798,-3.6244,-5.2505
"PA14_00060",-1.2234,-0.9312,-0.5568,0.3585,0.6552,-1.1561,-1.0003,-0.7252,-2.0891,-2.3504,-3.0007,-0.6073,-0.0541,-1.4499,-0.5764,0.2007
"PA14_00070",-1.4198,-0.3074,0.1691,0.2131,1.3515,3.0565,2.8533,2.5329,-0.4977,0.6674,1.0335,2.896,1.3072,4.0054,1.911,4.4115
"PA14_00080",0.9525,-0.5027,0.3104,-1.0446,1.7499,0.9855,0.3389,-0.1997,1.5989,0.9052,0.0727,-0.1584,1.5247,0.7134,0.1395,0.165
"PA14_00090",-1.1516,0.1237,-0.3496,0.8568,-0.3126,-0.2391,0.3378,-0.1676,-0.7208,-2.0301,-1.1327,-0.5415,-1.1118,-0.6502,-1.3966,0.1658
"PA14_00100",-1.3276,0.8665,-2.2882,0.1829,-1.4855,-0.3037,0.5109,0.5753,-2.3922,-2.8368,-2.0389,0.1254,-2.749,-2.3752,0.4459,0.0935
"PA14_00110",-0.0212,0.8806,0.1672,-0.1619,-0.1201,-0.565,1.6379,1.9207,-0.2411,0.3671,1.1895,1.6308,1.1721,0.6894,1.8288,2.9764
"PA14_00120",-1.8837,0.0506,-0.2442,0.7522,-2.1702,-1.1662,-0.4896,1.4591,-4.991,-4.5884,-2.3998,-1.8786,-4.6438,-3.7475,-2.1449,-1.5411
"PA14_00130",0.0461,-0.0652,-0.5447,-1.2423,1.0473,1.139,-0.5791,1.4885,-0.2746,-2.0503,0.3004,0.7477,-0.2723,1.2098,1.8192,2.2911
"PA14_00140",-0.0655,-0.0528,0.6778,0.3244,0.446,-0.009,-0.2954,0.7923,-0.63,-0.3125,-0.0167,0.3533,-0.3594,-0.683,0.1594,0.5063
"PA14_00150",-0.1898,0.6337,-0.249,0.8408,-0.6338,-0.1171,-1.2228,-0.2368,-0.1,-0.3888,-2.1264,1.3049,0.3173,-0.4798,-0.2589,-0.6276
"PA14_00160",-0.4866,0.709,-1.3802,0.0985,-0.843,0.4896,0.8281,1.7662,-1.2637,-0.0917,0.943,0.1759,-1.71,0.258,1.07,1.6682
"PA14_00170",-1.4116,0.7653,-0.5014,0.3903,-1.5629,-0.9143,-0.3528,0.4671,-2.0777,-1.696,-1.2427,-0.7228,-1.9288,-1.491,-1.1731,-0.5609
"PA14_00180",-1.3411,0.8265,-0.1425,0.6057,-1.0364,0.2518,0.3269,0.7667,-1.6985,-0.6321,-0.8116,-0.6039,-2.5185,-1.544,-1.1531,-0.2994
"PA14_00190",-0.7993,-1.7474,-0.2516,0.0496,0.1608,2.633,0.6117,1.7541,-0.3038,-0.889,-0.2182,0.5074,0.836,-1.981,-0.2988,0.1515
"PA14_00200",-0.1135,1.0903,0.0983,1.5421,3.3245,4.2251,2.6743,1.7885,0.7011,-2.8795,-1.2869,0.3898,1.1758,-0.4687,3.1649,-2.2447
"PA14_00210",-0.3467,-0.1805,0.9438,0.912,0.7487,1.5246,-0.1325,1.7883,-2.0782,-0.0255,-1.2769,-1.0993,-2.0499,-1.7947,2.4738,-0.5822
"PA14_00230",0.7954,0.3546,-0.2142,0.2026,0.725,-0.6379,0.5513,0.3048,1.5299,-0.2736,0.1719,0.288,-0.023,0.8619,0.5045,1.3629
"PA14_00240",-0.1386,0.4966,-0.1337,0.1767,0.0807,0.8103,-0.6058,-0.6325,-0.9341,-0.3805,-0.729,-0.0028,-0.4556,-0.8382,-0.8564,0.0654
"PA14_00250",0.0184,-0.3897,-0.4961,-0.7801,0.4463,0.4026,-0.9665,0.5812,0.6698,0.8599,1.5073,2.4665,0.7731,0.8207,0.4098,2.0187
"PA14_00280",-1.0511,0.3457,-0.1551,0.4441,1.3196,1.4352,2.8537,3.2068,-0.5509,0.8654,1.7,3.0875,-1.2539,0.8617,1.7362,1.8872
"PA14_00290",-0.1379,0.3786,-0.2905,-0.1211,0.3718,0.4059,2.5191,1.754,-4.2844,-2.057,-1.2731,-1.5667,-3.7241,-2.7398,-2.4424,0.7667
"PA14_00300",0.2689,-2.0001,0.8541,-1.1508,3.9486,2.2953,1.2074,1.6384,3.2976,0.8095,1.9233,0.9993,6.288,3.7267,3.552,1.0076
"PA14_00310",0.6799,-0.2746,-0.2422,-1.6739,0.276,0.9171,3.0368,1.0529,0.1473,0.5255,4.0952,1.3468,-0.4593,1.7135,0.2563,6.3276
"PA14_00320",-0.233,0.6265,-0.3295,0.249,-0.9263,-0.7562,0.0097,0.2547,-0.8931,-0.2264,0.2551,0.0603,0.301,-0.5242,0.0496,0.9481
"PA14_00340",0.1169,0.0807,0.9856,-0.1607,-0.3673,0.3813,0.0178,0.9063,1.7997,0.3615,0.6995,1.8391,0.5882,0.4863,0.0012,2.6644
"PA14_00360",0.1667,-0.3427,1.2182,-0.0132,0.1633,0.7787,0.7197,0.597,1.4578,0.7839,0.4252,1.1268,0.5887,0.7382,-0.0108,1.9608
"PA14_00380",0.9199,0.313,0.954,0.2153,0.7055,1.5266,2.0847,-0.2837,2.8372,2.8146,1.2922,3.1148,2.1735,1.997,0.4073,2.9146
"PA14_00400",0.4043,0.5163,-0.3362,-0.1917,1.0312,0.5174,0.502,0.6916,0.7571,0.8862,0.9146,0.4093,0.3963,0.8751,0.933,1.3759
"PA14_00410",-0.8999,0.4335,-0.5904,-0.4278,-0.8902,-0.9088,0.6007,-0.551,0.856,0.2422,-0.0856,0.3557,-1.1576,-0.2499,-0.0933,1.2722
"PA14_00420",0.5206,0.4183,0.3196,0.6212,-0.0972,-0.4442,-1.0504,0.3295,1.1538,0.1196,0.3308,-0.1335,0.076,-0.4141,0.1345,1.7543
"PA14_00430",1.1083,-0.1981,0.5965,-0.353,0.2206,-0.3664,0.3342,1.3212,1.097,0.9552,-0.5852,-0.2182,0.7629,0.9678,0.9606,2.4454
"PA14_00440",-0.4944,-0.932,-0.2842,0.3494,0.512,0.8868,1.7135,-0.2759,0.595,0.183,1.0963,0.4856,0.4882,0.3365,1.4194,1.0949
"PA14_00450",-0.7727,-0.1974,0.6221,0.9533,2.4477,0.8421,3.0786,0.936,2.8001,2.9868,3.9002,6.1875,3.9613,3.2523,2.1614,6.1822
