"","MOCP_0110:ara:0.50000%:PA14_c26:270min:A","MOCP_0110:ara:0.12500%:PA14_c26:270min:A","MOCP_0110:ara:0.03125%:PA14_c26:270min:A","MOCP_0110:ara:0.00000%:PA14_c26:270min:A","MOCP_0110:ara:0.50000%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.12500%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.03125%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.00000%:PA14_dhfR_c117:270min:A","MOCP_0110:ara:0.50000%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.12500%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.03125%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.00000%:PA14_murA_c119:270min:A","MOCP_0110:ara:0.50000%:PA14_lpxC_c165:270min:A","MOCP_0110:ara:0.12500%:PA14_lpxC_c165:270min:A","MOCP_0110:ara:0.03125%:PA14_lpxC_c165:270min:A","MOCP_0110:ara:0.00000%:PA14_lpxC_c165:270min:A"
"PA14_00460",0.2607,0.4238,-0.7391,-0.4401,-0.8577,-0.5722,-0.7521,0.0439,0.3747,0.4105,-0.3298,1.7054,0.8173,-0.35,-0.7659,2.2269
"PA14_00470",0.6761,-0.0694,0.6348,-0.1121,1.3967,1.1549,0.2947,0.2613,3.5905,3.0682,1.9612,1.0417,3.9038,2.1215,2.1267,0.7535
"PA14_00480",-0.5441,0.8394,-1.028,0.569,-0.6948,0.0154,-0.9965,-0.6772,-1.1446,-1.6839,-0.4453,-1.1967,-2.658,-2.51,-0.6692,-2.2703
"PA14_00490",1.304,1.1415,3.0287,0.6201,3.835,2.0481,2.8913,1.506,4.0723,2.4615,2.0415,3.4251,3.1377,1.4282,1.7768,3.897
"PA14_00510",0.3389,1.0477,0.0888,-0.0737,1.2477,0.7534,3.0725,1.5326,4.7284,4.7796,4.7907,5.0795,3.0525,4.2226,4.221,6.5267
"PA14_00520",1.0332,1.1379,0.092,-0.1466,1.2733,1.8156,2.7933,2.6899,-1.9126,0.7713,0.2115,0.5469,-4.4978,-1.5746,0.0892,0.8236
"PA14_00530",-0.5163,-0.1873,-0.6629,-0.1097,-3.9061,-2.6329,-1.4016,-2.3663,-8.3968,-6.9862,-7.3518,-7.5108,-8.6157,-9.3873,-8.0182,-6.9446
"PA14_00550",0.4385,-0.3374,0.2687,-0.8238,1.8343,1.7483,3.5649,0.1635,2.8349,1.4641,1.4143,3.6303,3.1201,2.8002,1.1535,3.5218
"PA14_00560",1.4546,1.2226,0.4697,-0.0169,1.607,0.8101,0.1884,-0.6396,1.1967,-0.4797,0.3264,0.6244,-0.5323,1.1866,0.0503,2.0058
"PA14_00570",-0.6455,0.5613,0.0627,0.7454,-0.1093,1.7467,2.5878,2.8853,-2.204,-0.7115,-1.4675,0.0463,-1.4505,1.6075,0.6428,4.5693
"PA14_00580",-0.5409,0.7239,-0.7145,0.9618,-0.9719,1.3795,-0.6508,1.1365,-0.9654,-2.0593,-0.7521,-1.9612,-1.075,-0.2984,0.2108,1.548
"PA14_00590",-1.6226,0.6347,-0.3367,0.2062,0.3744,-0.2481,-0.6232,0.1443,0.2456,0.6989,0.0338,0.216,-0.3087,-0.7197,0.5151,1.1873
"PA14_00600",0.0551,0.8015,-1.3785,-0.6267,-0.4427,-0.2458,-1.2304,-2.5325,0.8035,0.1849,0.7877,0.2142,1.1399,1.4165,0.4207,2.809
"PA14_00620",-0.5582,0.1844,0.3814,0.9663,0.6009,-0.3804,1.5342,0.7573,-0.7014,-1.7953,-0.122,2.4706,-1.7625,-1.7973,-1.6776,3.0161
"PA14_00630",-0.864,-0.0926,-0.7303,0.5242,-2.162,-0.4285,-1.3812,0.9041,-0.3132,0.395,-0.2239,2.0703,-0.2409,-0.4229,-0.2923,0.0183
"PA14_00640",0.489,0.402,0.5832,-0.2877,-0.6777,1.0674,1.5232,0.8985,-0.2694,0.8553,-0.3604,1.1167,0.2745,1.4217,-0.7969,2.3529
"PA14_00650",1.9631,0.9207,1.4576,-1.2106,1.0303,0.2695,0.0513,-0.5313,3.8051,1.6846,-0.2519,0.0115,3.3217,2.0294,0.2185,-0.8303
"PA14_00660",-1.077,-0.168,0.4205,0.456,-0.2647,0.1146,-0.3849,-0.1253,-2.4124,-1.2099,-0.5103,0.659,-2.8138,-2.2025,-0.1713,-0.3332
"PA14_00670",0.1778,-0.4197,0.5643,0.8929,0.1756,1.6418,-0.3734,0.5767,0.1296,-0.5214,-0.1263,1.0924,0.5282,-0.638,0.996,-0.1023
"PA14_00680",0.1354,-0.591,2.0062,-0.4379,0.4338,-0.3437,1.1801,0.7808,2.5059,0.9026,0.659,1.4089,2.0085,-0.5997,-0.2854,1.2395
"PA14_00690",0.1573,-0.0278,1.3331,0.0072,0.1559,1.0943,0.8646,1.2581,1.372,1.2733,0.9443,2.6094,0.9817,0.8533,0.324,2.4643
"PA14_00700",0.044,-0.396,1.6709,-0.0799,0.052,1.4805,1.2865,0.16,0.7595,-0.1021,1.1115,1.3201,0.7946,1.5821,0.3215,2.6892
"PA14_00710",-0.2409,0.666,-0.3743,-0.5107,1.9897,0.5137,1.9142,-0.6063,3.5802,4.8481,4.7859,2.122,3.0251,2.0597,2.2441,0.3469
"PA14_00720",0.5733,1.7245,-1.8178,1.1011,2.3536,4.1155,5.3607,2.0669,10.0887,10.705,11.351,5.6144,7.8385,7.8307,5.4677,6.4365
"PA14_00730",1.1121,0.3543,0.1315,-0.5122,1.7563,0.5302,0.5691,0.09,3.509,2.5469,2.4184,1.7416,3.1044,1.7454,0.7061,0.798
"PA14_00740",0.3735,0.9993,0.6728,1.2987,2.0049,2.155,1.4091,1.2341,7.1099,7.6094,8.038,6.2027,5.8549,3.4516,1.9424,4.6792
"PA14_00750",-0.6262,1.0713,-0.2339,-0.2927,-1.5655,0.5353,-0.7459,-0.6227,-0.771,0.5026,0.9339,2.3435,-0.7514,0.0267,-0.1265,-0.681
"PA14_00760",0.7486,-0.1419,0.0236,-0.1618,0.6069,0.1335,0.6945,0.9089,1.7591,1.0366,1.1692,1.1212,1.4235,0.9155,0.2753,2.2785
"PA14_00770",1.2944,0.2803,1.3471,-0.7302,2.4857,-0.8281,2.3918,1.2421,1.5204,1.648,2.2617,1.7442,3.4413,2.5367,0.929,2.2572
"PA14_00780",1.4181,0.3209,1.2785,-1.6213,1.4253,2.0961,0.1744,-1.5256,-0.0329,-1.6098,-1.804,-1.0681,5.3887,-1.2436,-0.4282,1.7167
"PA14_00790",0.8097,0.639,-0.9924,0.2553,2.396,1.9516,0.9689,1.922,1.9201,1.7093,1.6928,0.8653,1.8259,2.2191,1.8525,1.6974
"PA14_00800",0.5358,-0.2259,-0.5415,-0.3248,0.9618,1.4224,0.143,-0.6442,1.0718,0.7796,0.3914,0.1672,-0.2212,0.7114,0.3325,1.1982
"PA14_00810",-0.2359,-1.0637,-0.0816,-0.4652,-0.0511,2.6806,-0.742,-0.5846,-1.1425,-0.7346,-1.6755,0.9595,-1.1935,-1.1498,-1.0519,0.7491
"PA14_00820",-1.0893,-0.2769,0.1051,0.2633,2.4886,2.3478,1.7279,0.6768,6.5632,7.2288,6.5684,4.5815,4.5502,6.129,6.4334,2.4453
"PA14_00830",-0.0381,0.4375,-0.4922,0.5027,1.6913,2.072,0.1244,0.2094,4.3772,4.1869,4.6186,2.9864,2.7514,1.7993,3.0716,2.2859
"PA14_00850",0.5183,0.6905,-0.313,0.0182,1.7645,0.6527,1.9343,1.7534,4.809,3.6545,2.5401,2.3765,2.4537,2.8009,1.5652,2.9711
"PA14_00860",0.6568,-0.1285,0.2432,0.1696,1.8241,1.7924,1.3466,1.1812,3.669,3.5037,2.4703,2.5616,2.9184,2.7589,1.5511,1.8229
"PA14_00875",0.5057,0.0735,0.0458,-0.4951,1.6434,0.5623,1.1811,0.4896,3.9934,3.7037,2.7809,2.8763,2.1972,2.506,2.0127,2.3776
"PA14_00890",0.0542,0.284,0.9449,-0.7752,1.4736,0.3274,0.31,-0.7267,3.1254,2.6426,2.205,1.7364,1.2881,1.9105,0.8207,0.9414
"PA14_00900",-0.8434,-1.49,0.4524,1.1997,1.0946,1.297,1.2685,0.0037,4.6072,4.9818,3.9257,3.0881,3.61,2.3123,2.7201,2.32
"PA14_00910",0.4074,0.0833,0.0277,-0.1396,8.5994,3.9726,5.8627,2.6714,15.5152,16.178,12.1858,9.7954,8.66,12.9166,11.323,13.0606
"PA14_00925",0.1614,0.9893,1.7533,1.6966,6.2524,5.7182,6.1353,0.7192,16.3828,11.853,9.9994,9.1873,8.8595,7.9937,6.4683,8.9186
"PA14_00940",0.6896,-0.1101,1.2154,0.2158,2.4533,1.8585,2.1615,0.3539,2.8963,3.093,2.5215,2.7925,1.9691,2.3769,2.1255,2.4157
"PA14_00960",0.99,-0.0743,0.759,0.0672,2.0501,2.0912,1.0398,0.7611,3.2178,2.2741,2.287,2.3873,1.6767,3.3503,1.7903,3.207
"PA14_00970",1.5764,-0.2901,0.0883,-0.7472,3.656,4.1109,-0.034,0.2547,5.6961,4.736,4.0065,2.8409,2.1976,2.735,3.0469,3.2923
"PA14_00980",1.8577,-0.1573,0.1828,-1.2966,4.8644,3.6544,1.6806,1.4943,6.0081,4.7789,2.2818,1.5432,5.2923,4.343,2.6721,2.7894
"PA14_00990",-0.227,0.5019,0.2434,-0.9822,2.3603,1.5006,1.2409,0.1516,6.7935,6.5931,4.5542,3.9307,4.5167,4.2596,4.5423,1.6439
"PA14_01010",-0.411,0.4166,-0.0643,0.6699,3.6435,2.0646,1.4416,0.2985,6.5174,6.861,5.7105,3.8197,5.1201,5.0685,4.7697,3.69
"PA14_01020",0.5963,1.4887,-0.3684,-0.3103,5.3488,2.9312,2.2103,-0.5029,12.0909,11.7497,10.2444,5.3761,8.6067,10.0803,8.5742,6.8074
"PA14_01030",-0.7706,0.1134,0.1106,1.0373,3.8721,3.2477,2.921,1.8496,8.7201,10.2668,8.4712,6.4067,6.5367,8.2219,8.2586,5.1282
"PA14_01040",0.3023,-0.3615,0.8872,-0.2755,4.445,1.9959,1.8653,1.0753,7.2148,8.5684,7.3839,4.5995,3.2522,3.5538,4.5567,6.1089
"PA14_01060",0.5113,-1.1412,0.5296,-0.7782,4.023,1.6492,2.9252,0.6994,5.3204,6.045,5.7312,5.1219,3.6192,4.972,2.0616,2.8507
"PA14_01070",-1.317,-0.3689,-0.0529,0.5775,3.7461,2.1757,1.7268,0.8478,7.4728,7.2109,6.4081,5.7037,4.1984,4.8064,4.1035,4.0342
"PA14_01080",-0.3252,0.0863,-1.0674,0.0198,1.3957,1.4967,1.1435,0.3947,5.4311,5.8292,5.0016,3.2712,3.6349,3.0437,2.9736,2.9973
"PA14_01100",0.6328,1.4931,-0.8466,0.7735,4.0061,3.9674,3.3734,3.2149,10.1095,10.7003,8.6246,6.6647,7.0053,8.8187,7.8936,8.2237
"PA14_01110",-0.0503,0.0202,1.084,0.2761,3.5645,2.8177,2.2751,0.8902,7.1293,7.8948,6.974,5.6947,4.2383,6.2215,6.2287,6.082
"PA14_01120",0.8471,-0.5928,0.5042,0.832,2.6625,1.4312,0.7124,3.1334,3.4098,4.0956,4.2431,4.1167,3.4642,3.7351,4.2312,4.1267
"PA14_01130",-0.1065,-0.2288,0.0995,-0.0258,0.9009,3.4183,2.568,1.0428,1.9238,2.4232,1.5549,3.0368,2.0693,2.7645,3.4878,3.2235
"PA14_01140",-0.0592,0.6773,1.0835,-0.6869,5.1738,1.7836,2.4254,-0.147,5.5542,5.015,3.8693,4.4035,4.9285,3.7229,5.8631,6.1197
"PA14_01150",0.4003,-0.8048,0.7371,-0.6782,1.84,1.143,0.2786,-1.7015,2.718,1.0274,1.4723,1.1524,2.1634,2.1427,1.3153,2.0052
"PA14_01160",0.839,-0.3177,0.0254,-0.618,2.2296,1.5308,1.0222,0.541,3.193,2.2066,1.6646,1.5659,2.4139,2.0056,1.7035,1.4103
"PA14_01170",0.5348,-0.5215,0.7402,0.3517,1.8975,1.8161,-0.4192,1.5253,1.8132,3.1917,2.1776,1.1951,2.3913,1.4349,1.5596,2.2222
"PA14_01180",1.2334,0.4105,0.9922,0.2617,2.3898,1.4964,2.1063,1.3357,4.8613,3.1625,3.2467,4.9628,2.4666,3.2865,1.6155,3.5714
"PA14_01190",0.6234,0.0434,0.28,-0.4654,2.2811,1.2052,0.6029,-0.204,4.3067,3.6422,2.4786,3.5749,1.8911,2.4217,2.9372,3.2998
"PA14_01200",1.0308,0.4167,0.1504,0.5544,1.9074,2.0825,3.2642,2.2096,3.7508,3.5429,5.2469,3.9308,2.399,3.536,1.6221,3.481
"PA14_01220",0.3754,3e-04,0.3066,0.7303,1.7745,0.4187,1.8911,0.9525,3.1409,3.0084,3.4914,3.4868,2.2322,3.7813,1.4957,3.5683
"PA14_01230",1.2369,-1.344,-1.3499,0.2974,3.1149,0.8606,2.0707,-0.5738,7.2949,7.2625,5.3529,4.8509,5.4766,4.1398,5.0998,7.7078
"PA14_01240",-1.245,-0.3073,-0.8885,0.7127,-0.7138,-0.6943,-1.1692,-0.8906,0.5726,0.6038,-0.6274,-0.3187,-0.8578,-1.8006,-2.0841,-1.1708
"PA14_01250",0.8868,0.2139,1.1677,0.7803,0.5189,1.1386,0.8643,0.2153,3.2781,1.3344,2.3804,2.7868,-0.0109,-0.5597,-0.9817,2.5637
"PA14_01270",0.0921,-0.0821,-0.7965,-0.1867,-0.3484,0.0159,-0.02,-0.7052,1.3753,0.7866,0.3622,0.0615,-0.1402,-0.2147,-1.9695,-0.5422
"PA14_01290",2.5333,-0.2177,0.1875,-1.1764,4.1406,2.8098,2.2511,-0.0329,2.7506,1.8696,0.9989,0.5471,2.0154,1.0566,1.2872,1.1794
"PA14_01300",1.0673,-0.4806,0.4673,-0.8675,0.9444,0.1477,0.5122,0.1493,1.3881,1.2224,0.997,0.7219,1.4954,0.9678,0.3432,1.4112
"PA14_01310",1.758,0.2832,0.8099,-1.183,2.3337,-0.8786,2.822,0.8733,2.1068,0.7283,-1.0743,-0.5338,0.2878,1.5486,-0.3627,2.3621
"PA14_01320",0.3851,0.7888,2.7463,0.0205,3.5867,-0.3904,-0.8393,1.1038,1.7787,0.1183,2.2552,3.3946,0.9115,-0.0452,0.1317,0.6289
"PA14_01330",1.1868,-0.1142,0.2334,-1.2658,1.4836,0.8051,0.2312,0.3355,1.3966,1.5154,1.2881,1.0019,2.6163,1.8148,1.217,0.2752
"PA14_01340",1.7183,-0.5249,0.453,0.1839,2.203,0.2487,-1.0385,0.2175,1.0252,1.0745,1.3168,2.4687,0.8869,0.7911,-1.1941,4.7758
"PA14_01350",0.7451,1.8612,-0.3708,0.0534,0.8874,0.1341,0.6846,0.3464,1.0199,0.6233,0.2662,0.8198,0.8628,0.7771,-0.0015,1.2504
"PA14_01360",0.6751,1.0215,1.2581,-0.5846,-0.2645,0.3559,0.832,-0.5059,1.0438,0.8118,0.4269,0.7023,-0.6588,0.0959,1.0996,1.7828
"PA14_01380",0.4021,0.2702,0.3138,0.4798,0.2352,-0.2033,0.2081,0.1561,1.8066,-0.6385,-0.1615,1.482,1.6565,1.1437,0.8147,2.0148
"PA14_01390",-1.0286,-0.6752,0.6342,0.8085,-0.0889,0.6267,1.1415,0.6285,1.4417,1.025,1.4128,2.41,2.0163,2.6504,2.3192,3.3537
"PA14_01400",0.0229,-0.3293,-1.0989,-0.1084,0.5655,0.8655,1.2704,0.0654,0.3287,-0.3528,0.1676,0.2522,0.06,0.6878,-0.2683,1.838
"PA14_01410",-0.0374,-0.5466,0.5566,0.5382,-0.3949,-0.1507,0.4213,0.5269,-1.0689,-0.503,-0.8548,-0.2073,-1.2926,-0.4584,-0.2168,1.4401
"PA14_01430",-0.4115,0.4027,0.8998,0.0929,0.2013,1.0623,0.3102,1.6505,0.4865,-0.343,0.5328,0.2098,1.2013,0.1563,0.0817,1.6412
"PA14_01440",0.991,0.4631,0.0897,0.6024,0.6641,0.6221,0.2991,0.126,2.6668,1.0376,0.5793,0.6306,0.8897,2.1131,0.9438,1.6381
"PA14_01460",1.3571,1.1449,0.2006,-1.1113,3.3229,8.591,8.174,6.2998,9.1799,11.3654,9.9792,14.7184,9.4822,14.7311,14.9282,16.2354
"PA14_01470",-0.1234,0.9527,0.0018,-0.551,0.5663,2.2472,2.81,4.2033,3.1208,3.6816,4.6728,5.1717,0.498,3.3,2.1452,5.0173
"PA14_01480",0.1341,0.3803,-2.0291,0.7414,1.8714,-2.564,2.9768,2.9045,0.5653,2.1411,3.5616,2.4383,1.1341,0.5678,1.6758,4.9868
"PA14_01490",-1.0308,-0.996,-0.7814,-0.4541,-0.4132,1.3693,-0.187,-1.8466,-1.2339,-1.3136,-1.5815,-3.1262,2.9204,2.905,1.2682,-0.6305
"PA14_01500",1.1,0.5025,-0.0116,-0.6968,0.9207,-0.4344,-0.5516,-0.9902,2.5898,1.5999,-0.5688,-0.0398,4.0102,-0.6219,-2.9425,1.568
"PA14_01510",0.781,-0.1206,-0.2501,-0.4906,1.1839,0.5874,-0.0268,0.0231,0.6955,0.6024,0.4546,-0.5868,0.3019,0.1453,0.5319,0.3511
"PA14_01520",0.9818,-0.4413,0.1201,-0.4052,1.5899,0.9636,-0.3181,-0.2952,1.2553,0.1901,0.617,0.4017,0.8816,0.8511,1.3003,0.7214
"PA14_01540",0.4074,-0.3149,0.1323,-0.023,4.9805,5.2197,2.131,1.5573,5.9285,2.2496,4.1808,3.5955,3.3173,5.3865,6.8079,2.217
"PA14_01550",0.7053,0.5697,0.0126,0.2524,-0.4217,-0.5626,-0.2991,0.4273,0.2374,1.0531,0.4016,-0.4263,0.9114,0.1653,-0.7219,1.6686
"PA14_01560",0.2632,0.7171,0.0537,0.2677,-0.5797,-0.1944,0.4475,-1.173,-1.265,-0.7354,-1.8447,-1.8081,-2.0938,-2.4798,-1.5454,-1.9882
"PA14_01580",0.462,-0.4503,0.7913,-0.5186,0.1922,-0.3037,-0.9329,-0.8258,1.9775,0.5201,-0.8474,0.2166,2.0264,2.1767,0.8798,2.1818
"PA14_01600",1.2231,-0.2429,0.8452,-0.7717,0.7098,-0.5794,-0.053,-0.5433,0.5544,0.4102,-1.2853,-0.9245,1.7066,1.3359,0.7369,0.5672
"PA14_01610",1.2265,0.5271,-0.4941,-0.4331,0.9542,0.5693,1.509,0.1605,2.3027,1.1563,0.0842,1.2037,2.7358,0.9447,1.228,2.3944
"PA14_01620",1.6341,0.4198,0.4244,-0.0983,-1.0888,-2.1075,-0.2043,-0.0258,0.4532,-0.2482,-0.3116,0.7479,3.7902,1.7619,1.313,0.6788
"PA14_01640",3.2234,0.0973,-0.6052,-0.9235,2.9416,2.5235,1.7368,1.6577,1.952,1.192,1.3323,1.5355,2.6941,2.1072,1.303,4.3312
"PA14_01660",1.1141,0.4238,-0.0694,-1.2214,1.2305,1.6289,0.4254,0.4268,10.3705,9.5222,8.7638,5.9664,8.5399,7.1553,6.135,5.6506
"PA14_01670",0.6496,0.3495,0.3911,0.6332,-0.1968,0.9463,1.8768,0.7748,2.5474,2.0956,1.988,4.2203,2.5954,2.1965,1.557,4.6518
"PA14_01680",0.4732,-0.0193,0.5037,0.109,-0.105,-0.0749,0.8391,0.2517,1.2652,1.0314,0.4803,2.1691,0.8711,0.7056,0.0811,2.395
"PA14_01690",0.9902,0.1057,0.5,-0.8123,-0.3422,1.4982,1.276,-0.3359,0.726,1.3675,1.4183,1.1693,1.0531,0.0214,-0.239,2.1233
"PA14_01710",-1.4072,0.6636,-0.0188,0.7419,-1.3126,0.4554,0.8829,0.5609,-0.7537,-0.2788,-0.1029,0.4672,0.0169,0.5202,1.0732,0.3145
"PA14_01720",-0.6488,0.4262,-0.0619,1.7146,-1.7618,-0.5911,1.0579,0.525,-1.6154,-2.0163,-0.99,-1.41,-2.6253,-1.6257,-2.5249,-0.3107
