"","MOCP_0066:carb:6400.00000uM:PA14:90min:A","MOCP_0066:imi:6.25000uM:PA14:90min:A","MOCP_0066:doxy:100.00000uM:PA14:90min:A","MOCP_0066:cip:0.78125uM:PA14:90min:A","MOCP_0066:col:12.50000uM:PA14:90min:A","MOCP_0066:fosfo:3200.00000uM:PA14:90min:A","MOCP_0066:water:0.50000%:PA14:90min:A","MOCP_0066:ami:6.25000uM:PA14:90min:A","MOCP_0066:clari:200.00000uM:PA14:90min:A","MOCP_0066:dmso:0.50000%:PA14:90min:A","MOCP_0066:pf3299:1.56250uM:PA14:90min:A","MOCP_0066:mrl494:50.00000uM:PA14:90min:A","MOCP_0066:a22:800.00000uM:PA14:90min:A","MOCP_0066:cbr4830:62.50000uM:PA14:90min:A","MOCP_0066:chir090:3.12500uM:PA14:90min:A","MOCP_0066:dmso:0.50000%:lpxC-hypo:90min:A","MOCP_0066:pf3299:1.56250uM:lpxC-hypo:90min:A","MOCP_0066:cip:0.78125uM:lpxC-hypo:90min:A","MOCP_0066:doxy:100.00000uM:lpxC-hypo:90min:A","MOCP_0066:water:0.50000%:murA-hypo:90min:A","MOCP_0066:fosfo:800.00000uM:murA-hypo:90min:A","MOCP_0066:cip:0.78125uM:murA-hypo:90min:A","MOCP_0066:doxy:100.00000uM:murA-hypo:90min:A","MOCP_0066:dmso:0.50000%:bamA-hypo:90min:A","MOCP_0066:mrl494:50.00000uM:bamA-hypo:90min:A","MOCP_0066:cip:0.78125uM:bamA-hypo:90min:A","MOCP_0066:doxy:100.00000uM:bamA-hypo:90min:A","MOCP_0066:dmso:0.50000%:gyrA-hypo:90min:A","MOCP_0066:cip:0.78125uM:gyrA-hypo:90min:A","MOCP_0066:pf3299:1.56250uM:gyrA-hypo:90min:A","MOCP_0066:doxy:100.00000uM:gyrA-hypo:90min:A","MOCP_0066:carb:1600.00000uM:PA14:90min:A","MOCP_0066:imi:1.56250uM:PA14:90min:A","MOCP_0066:doxy:25.00000uM:PA14:90min:A","MOCP_0066:cip:0.19500uM:PA14:90min:A","MOCP_0066:col:3.12500uM:PA14:90min:A","MOCP_0066:fosfo:800.00000uM:PA14:90min:A","MOCP_0066:ami:1.56250uM:PA14:90min:A","MOCP_0066:clari:50.00000uM:PA14:90min:A","MOCP_0066:pf3299:0.39100uM:PA14:90min:A","MOCP_0066:mrl494:25.00000uM:PA14:90min:A","MOCP_0066:a22:200.00000uM:PA14:90min:A","MOCP_0066:cbr4830:15.62500uM:PA14:90min:A","MOCP_0066:chir090:0.78125uM:PA14:90min:A","MOCP_0066:pf3299:0.39100uM:lpxC-hypo:90min:A","MOCP_0066:cip:0.19500uM:lpxC-hypo:90min:A","MOCP_0066:doxy:25.00000uM:lpxC-hypo:90min:A","MOCP_0066:fosfo:200.00000uM:murA-hypo:90min:A","MOCP_0066:cip:0.19500uM:murA-hypo:90min:A","MOCP_0066:doxy:25.00000uM:murA-hypo:90min:A","MOCP_0066:mrl494:25.00000uM:bamA-hypo:90min:A","MOCP_0066:cip:0.19500uM:bamA-hypo:90min:A","MOCP_0066:doxy:25.00000uM:bamA-hypo:90min:A","MOCP_0066:cip:0.19500uM:gyrA-hypo:90min:A","MOCP_0066:pf3299:0.39100uM:gyrA-hypo:90min:A","MOCP_0066:doxy:25.00000uM:gyrA-hypo:90min:A","MOCP_0066:fosmido:500.00000uM:PA14:90min:A","MOCP_0066:tobra:6.25000uM:PA14:90min:A","MOCP_0066:tmp:400.00000uM:PA14:90min:A","MOCP_0066:pol7080:0.32000uM:PA14:90min:A","MOCP_0066:tmp:400.00000uM:dfhr-hypo:90min:A","MOCP_0066:pol7080:0.32000uM:dfhr-hypo:90min:A","MOCP_0066:doxy:100.00000uM:dfhr-hypo:90min:A","MOCP_0066:dmso:0.50000%:dfhr-hypo:90min:A","MOCP_0066:water:0.50000%:dxr_kd:90min:A","MOCP_0066:fosmido:500.00000uM:dxr_kd:90min:A","MOCP_0066:cip:0.78125uM:dxr_kd:90min:A","MOCP_0066:doxy:100.00000uM:dxr_kd:90min:A","MOCP_0066:dmso:0.50000%:lptD_kd:90min:A","MOCP_0066:pol7080:0.08000uM:lptD_kd:90min:A","MOCP_0066:cip:0.78125uM:lptD_kd:90min:A","MOCP_0066:doxy:100.00000uM:lptD_kd:90min:A","MOCP_0066:ll37:12.50000uM:PA14:90min:A","MOCP_0066:fosmido:250.00000uM:PA14:90min:A","MOCP_0066:tobra:1.56250uM:PA14:90min:A","MOCP_0066:tmp:100.00000uM:PA14:90min:A","MOCP_0066:pol7080:0.08000uM:PA14:90min:A","MOCP_0066:tmp:100.00000uM:dfhr-hypo:90min:A","MOCP_0066:pol7080:0.08000uM:dfhr-hypo:90min:A","MOCP_0066:doxy:25.00000uM:dfhr-hypo:90min:A","MOCP_0066:fosmido:250.00000uM:dxr_kd:90min:A","MOCP_0066:cip:0.19500uM:dxr_kd:90min:A","MOCP_0066:doxy:25.00000uM:dxr_kd:90min:A","MOCP_0066:pol7080:0.02000uM:lptD_kd:90min:A","MOCP_0066:cip:0.19500uM:lptD_kd:90min:A","MOCP_0066:doxy:25.00000uM:lptD_kd:90min:A","MOCP_0066:ll37:6.25000uM:PA14:90min:A"
"PA14_13590",1.478,0.8956,-0.9436,-0.6441,2.5776,1.6951,-0.2303,-0.4138,0.0523,-0.0518,0.5521,1.4139,0.9815,3.0252,0.3799,0.0721,1.0663,-0.8822,-0.9755,-0.8704,1.2852,-1.1156,-1.187,-0.1881,0.7547,-0.2507,-0.9848,0.3201,-0.6665,1.0058,-1.0521,0.0854,0.9545,-0.9993,-0.408,2.2552,1.3126,0.1113,-0.0442,0.4158,1.4004,0.669,-0.2659,0.8392,0.7443,-1.1701,-0.7924,0.3933,-0.0604,-1.2087,0.1756,-0.3616,-0.6687,0.4219,0.2575,-1.0285,-0.163,-1.259,0.407,2.0767,1.5149,1.7981,-0.9882,0.0283,-0.2098,-0.4393,-0.3827,-1.8106,-0.062,1.2324,-0.7517,-0.5849,0.5197,0.0532,-0.1869,0.8989,2.1347,0.6586,1.9241,-0.5884,0.0824,-0.5108,-1.1492,0.448,-0.4148,-0.7355,0.7767
"PA14_13600",1.2778,0.4086,-0.8525,-0.7587,3.1407,2.4556,-0.3029,-0.9148,0.0183,0.4009,1.1618,1.3587,0.7939,4.8032,1.0553,-0.0523,1.2331,-0.9477,-0.7288,-0.5435,1.6403,-0.2255,-0.8236,-0.6363,1.0906,-0.6671,-0.7507,0.0212,-0.4043,1.5979,-0.2351,-0.1226,0.7807,-0.8096,-0.9118,2.9949,1.1955,-0.4804,-0.1994,1.2461,1.3738,0.5358,0.3322,1.035,1.2384,-0.4495,-0.5553,0.2836,-0.1692,-1.0483,0.8378,-1.1175,-0.2465,-0.5375,0.9686,-1.1159,0.134,-0.5042,0.958,1.7716,1.239,3.1013,-0.7709,0.0909,0.112,0.1467,-0.9506,-1.0677,0.2045,2.2946,-0.9153,-0.879,1.0233,-0.1563,-0.0987,0.3909,2.195,0.4433,2.5838,-0.7532,-0.2,0.0255,-1.031,0.4557,-0.9416,-0.6857,0.8592
"PA14_13610",0.4114,-0.1547,1.9058,-1.0585,2.3788,1.6268,-0.7437,-0.4215,-1.1971,-0.0964,1.115,0.843,0.4153,3.6774,1.1718,-0.2481,0.6666,-1.1672,1.4242,-0.6247,0.9068,-1.1474,0.0858,-0.4784,0.8233,-1.2151,1.3092,-0.5989,-1.2316,1.4659,1.5363,-0.2754,0.1295,-0.317,-0.9078,1.4369,1.3073,-0.7303,-1.2871,0.7106,0.095,0.5897,-0.4858,0.4913,0.8323,-0.5866,0.0097,1.0468,-0.4152,-0.568,-0.0541,-1.1584,0.394,-0.5984,0.2803,-0.2778,-0.2628,0.025,0.325,1.6844,0.5759,1.2585,1.4398,-0.176,-0.4474,-0.1974,-0.9572,1.2824,-0.3369,0.6995,-1.0515,1.2046,0.6402,-0.2792,-0.2868,0.5405,1.5791,0.5429,1.4912,-0.0485,-0.098,-0.1348,-0.4679,0.1357,-0.74,0.2539,0.6396
"PA14_13620",0.0852,-0.6347,0.7761,-0.0499,1.2753,-0.1894,-0.226,0.7484,3.3252,-0.2275,-0.769,-3.1328,3.3045,3.0105,0.2806,0.1666,0.0535,-0.4682,0.6544,-0.5642,-0.1664,-0.9895,-0.2987,-0.4408,-0.4014,-0.2339,0.7154,-0.2651,-0.9328,0.2884,1.086,-0.0849,-0.1346,-0.661,-0.0439,0.1917,-0.5833,-0.0707,2.8879,-0.2084,-1.3124,-2.7833,-0.9967,0.8955,0.6521,-0.567,-0.2164,0.0406,0.0527,-0.998,-1.2611,-0.2357,0.5196,0.0709,0.9878,-0.3752,0.6798,0.7464,-0.1014,-0.9624,0.1172,-0.5557,0.1814,-0.3096,1.1511,0.969,0.3057,0.7591,-0.5229,-1.2609,-0.2429,0.9269,0.1036,-0.5115,0.155,-0.7467,-0.7749,-0.5393,-0.4678,-0.8879,0.291,0.8246,-0.2021,-0.8312,-1.0859,-0.1745,1.3312
"PA14_13630",0.229,-0.2358,-0.0882,-1.4312,-0.0125,0.9817,-0.2885,-0.0114,1.1779,-0.0911,0.2846,0.3888,0.0927,3.0475,1.2754,0.3762,0.4638,-0.1252,-0.7581,-0.6447,-0.2576,-1.0107,-1.7771,-0.2999,0.4712,-0.1551,-0.9171,0.3513,0.3867,0.3335,-1.1134,-0.3275,-0.1183,-0.2074,-0.0597,1.5341,0.997,-0.2834,-0.031,0.2725,0.5469,0.3457,0.4575,1.3262,0.0411,-0.4787,-0.836,-1.0321,-0.8078,-0.4997,0.5959,-1.4512,-0.1672,0.0138,0.6805,-0.7455,0.2216,-0.2901,-0.7618,2.5032,0.9302,1.466,-0.1753,-0.0551,-0.2179,0.6669,0.0535,-0.7967,-0.0777,0.9441,1.1103,0.3312,1.2781,0.0119,0.0533,0.5882,1.5,-0.3981,0.5793,-0.9375,-0.5055,-0.5799,-1.2496,0.3938,-0.3895,-2.1337,0.4307
"PA14_13650",0.1685,0.6861,-0.0419,0.3251,0.3866,0.4261,-0.3425,0.5995,0.4103,-0.1317,0.0241,1.9734,-0.8439,0.8967,-0.1509,-0.358,-0.1467,-0.9034,-0.2893,0.0455,0.433,-0.4657,-0.529,-0.0477,0.555,-0.6588,-0.1081,-0.0161,-0.5019,0.4448,0.216,0.0588,-0.5315,-0.7612,-0.1081,0.9333,0.9399,-0.6586,1.2527,0.0731,0.3308,-1.2239,0.8959,-0.4257,-0.6791,0.2844,-0.663,0.6954,-0.399,-0.5799,0.7887,-0.7617,-0.5547,-0.6229,-1.2613,-0.2698,0.4194,0.7884,0.446,1.6202,0.2136,1.9058,0.2553,0.1058,0.5954,1.2819,-0.4798,-1.9791,0.9801,0.4623,-0.1616,-0.1892,0.3901,0.0191,0.4563,0.1182,0.7769,-0.254,0.6704,-0.6634,-0.3048,-0.1441,-0.616,0.3186,-0.7323,-0.565,-0.7107
"PA14_13660",0.7785,0.2274,-1.0498,0.6662,-0.6835,2.1964,0.2971,-0.3813,-1.1087,-0.3342,-0.6743,1.7542,-0.4523,-0.8318,-0.683,-0.5096,-0.7352,-0.0972,-1.0386,0.4304,1.6642,-0.1425,-0.9185,-0.6907,2.1402,-0.822,-1.6684,-0.5534,-0.6931,-0.6144,-0.6441,1.2846,1.0031,-0.7245,0.5953,0.1474,2.128,-0.1628,-0.7401,-0.4297,3.9466,-0.12,0.8901,-0.7605,-0.7731,-0.9723,-0.9065,1.132,-0.1197,-1.3418,2.3143,-0.8899,-0.8898,-0.78,-1.2485,-0.0879,0.491,0.8196,0.5302,4.4853,-0.0376,3.8701,-0.7028,-0.2955,0.293,0.6634,-0.3322,-0.2044,1.1838,1.8837,0.3726,-0.8942,-0.3352,0.4626,1.035,0.706,3.9853,-0.0295,2.8744,-0.6705,0.5915,0.1569,-0.5941,1.1541,0.2148,-0.7494,0.8264
"PA14_13670",0.5431,0.1684,-1.1962,-0.364,-0.6398,0.9831,0.9366,2.2785,0.5471,0.6239,-0.6522,-1.7962,-1.8325,0.3361,-0.0879,0.3674,0.6781,0.1089,-0.4674,0.4202,0.3676,-0.3197,-0.7664,-0.2705,-1.0944,0.6306,-0.959,-0.1636,0.1446,-0.2537,-0.2652,0.6654,0.732,0.3564,0.6286,-0.6426,0.2874,0.8239,0.527,-1.247,-1.212,-0.6188,0.2358,-0.6763,-1.2135,-0.5273,-0.3078,-1.0731,0.3318,-0.6957,-0.1904,0.362,0.0836,0.7285,-0.2599,0.1447,0.3861,1.9534,0.6947,-1.1266,0.4701,-0.4078,-0.3178,0.2242,0.1118,0.3726,-0.0369,1.088,0.4156,-0.3887,0.3714,-0.2567,-1.0888,-0.055,1.3168,-0.5765,-0.2073,-0.2959,-1.0596,-0.3304,-0.1216,0.3088,0.4853,-0.5105,-0.6005,-0.5252,-0.2697
"PA14_13680",0.7284,0.0683,-0.1948,-1.4852,0.1628,0.1448,1.5411,3.4639,2.1151,0.8931,-0.4582,-2.0448,-1.3503,0.8067,-0.7999,-0.0129,0.3158,-0.2369,-0.1417,-0.0628,-0.284,-0.0501,-0.4016,-0.3982,-0.7074,-1.4576,-0.396,-0.3996,0.0855,-1.038,-0.2286,0.9508,0.3465,0.0459,0.2932,-0.1757,0.7923,0.8885,1.2927,0.7565,-1.3458,-0.1316,-0.4928,-0.7039,-0.4696,-0.1639,0.6367,0.61,-0.1079,0.7348,-1.2613,-0.9661,-0.0478,-0.3831,-0.574,0.7714,1.0266,2.9602,-0.744,-1.406,0.5767,-0.2606,-0.3631,0.7257,-0.0469,0.6098,0.8315,-1.0377,0.2393,-1.0218,-0.4473,0.5367,-2.1092,1.2718,0.8557,-1.0367,-1.0367,0.67,-0.9337,-0.2955,-0.3939,-0.1084,-0.1585,-0.0936,-0.2338,0.2055,-1.1058
"PA14_13690",-1.0215,-1.5259,0.266,-1.4665,0.1185,-0.805,-0.3469,6.1088,0.963,0.5513,-0.3653,-0.0056,2.3004,0.4085,-1.1172,0.1661,0.0878,-0.8292,1.1875,0.0555,-0.6502,-0.1412,1.8811,0.3121,-0.3185,0.0721,0.7646,-0.174,-0.7432,-1.7126,1.2998,-0.193,-0.3552,0.3766,-0.5945,-0.5373,0.0638,0.9414,-0.7172,-0.2357,0.3137,-0.1921,0.0754,0.0795,-0.0317,0.4198,1.1864,0.2568,1.1274,0.7066,-0.5613,0.3554,1.581,-0.7914,-0.9719,1.4285,0.2263,4.0386,-0.2662,-0.8668,-0.972,0.0522,0.3993,0.512,0.0831,-0.7556,-0.0201,0.4637,0.6904,-0.8997,-0.6385,-0.1066,-0.7508,-0.0427,-0.0086,-0.1208,-0.9398,-0.142,0.4686,1.1133,-0.6509,-0.2305,-0.2951,0.2399,-0.2956,1.1392,-2.1421
"PA14_13710",-1.3517,-1.6161,0.9524,-1.114,0.0028,-1.2843,-0.5123,2.7201,0.7303,-0.1808,-0.7363,-1.5332,1.0544,0.2087,-0.2269,0.1437,-0.7585,-0.5767,0.9391,0.1308,-0.3762,-0.7865,1.3849,0.2716,-0.7471,-0.0638,1.1949,0.5681,-0.2584,-0.2088,1.8493,-0.6335,-1.079,0.979,-0.5621,-1.1161,-0.6692,-0.2455,0.4972,0.0535,-0.8338,0.7425,0.9562,0.9578,0.0873,-0.0806,1.4683,0.2378,0.1122,0.7843,-0.6197,0.3467,1.894,0.1878,-0.6886,1.3548,-0.5005,1.6717,-0.7868,-0.7125,-0.6359,-1.4192,1.0006,0.3724,0.6283,-0.5863,-0.1473,0.5117,-0.0528,-1.1783,-0.1139,1.2436,-0.1704,-0.2816,0.0658,0.2674,-0.744,-0.1027,-0.715,1.1312,0.3683,0.5654,0.8484,0.4513,-0.4031,1.0222,-0.4632
"PA14_13720",-1.3816,-0.5974,1.1129,-1.6859,-1.4766,-1.658,-0.7952,0.5774,-0.9768,-0.3598,-0.9315,0.4776,-1.9861,-0.302,-0.4994,0.0778,-0.4391,-0.9926,1.644,0.3899,-0.1025,-0.4429,1.8444,0.6122,1.1168,-0.0921,1.5361,0.4102,-0.1555,-0.2348,2.0832,-0.8408,-0.9698,0.9232,-0.9993,-1.1834,-0.6328,-0.5762,-0.4271,0.2137,-0.0417,1.3602,-0.3224,0.4507,0.1403,0.0409,1.4497,0.3941,0.5884,1.0637,0.8975,0.997,1.5686,0.1551,-0.1364,1.5316,-0.867,0.7551,-0.8852,-0.4796,-0.8317,-0.2667,1.0456,0.3757,0.4836,0.1197,-0.311,-0.2311,0.1902,-0.0736,-0.5281,0.8713,0.0481,-0.5624,-0.3099,-0.0152,-0.8663,-0.0309,-0.6652,1.0696,0.522,0.4682,0.4464,0.3139,0.2111,1.1387,0.1122
"PA14_13730",-1.4867,-0.1619,0.7191,-1.3876,-2.957,-1.38,-0.6264,1.5318,-0.1964,-0.5783,-1.0372,4.2667,-1.8154,0.1624,-0.7416,0.3129,-0.8877,0.198,1.0651,-0.0433,0.0615,0.6159,1.6858,0.0952,3.9133,0.4431,0.8011,-0.0641,0.31,-0.3088,1.4892,-0.3685,-0.4292,-0.6744,-0.4619,-2.8938,-0.6227,-0.2785,0.4085,-0.4929,2.9747,1.3719,0.6436,-0.3761,-0.1197,0.7786,0.8586,0.4964,0.5989,1.481,3.3285,1.1324,1.1119,0.3526,-0.0751,0.8756,-1.1071,-0.0294,-0.7521,-0.9279,-0.6975,-0.3524,0.899,0.2664,-0.0868,-0.6831,-0.5057,-0.0734,0.5692,-0.5322,0.2686,0.3266,-0.3177,-0.1345,0.219,1.1101,-1.4022,1.4906,-0.1667,0.3497,0.1468,0.592,0.1367,0.8465,1.737,-0.2761,0.6946
"PA14_13740",-1.5602,-0.9969,0.0115,-0.9849,-3.3623,-1.7865,-0.5237,1.0195,-1.3467,-0.4205,-1.3679,2.7721,-2.0584,0.0275,-1.5254,0.1189,-0.8807,0.0327,0.4202,0.5414,-0.3294,0.1165,1.0523,0.5253,2.5955,0.0427,0.2539,0.1326,0.5882,-0.652,1.9567,-0.381,-0.8577,-0.5828,-0.4522,-2.9663,-0.713,-0.304,-0.7896,-0.1842,1.8775,0.0311,0.212,-0.1338,-0.4494,0.9828,0.4982,0.1141,0.4429,0.9075,2.0904,0.7149,0.329,-0.0599,-0.6855,1.3977,-0.738,-0.0567,-0.5185,-1.4162,-0.5454,-0.9343,0.4231,0.6462,0.4565,-0.5686,-0.464,1.3411,0.8741,-0.6655,0.3497,0.4031,0.2156,-0.302,-0.1715,0.281,-1.3922,0.7052,-0.8934,0.0671,-0.0449,0.452,1.0761,0.7988,0.671,0.3012,0.0564
"PA14_13750",-0.5329,-0.1777,5.2108,-0.6794,-0.1139,-1.3358,-0.6009,-0.0607,4.59,-0.1581,-0.8208,-0.1756,-0.6634,0.0607,-0.6786,0.027,-0.9092,-0.6905,5.5886,-0.2545,-0.7051,-0.9716,4.5691,-0.1993,-0.3893,-0.5471,5.7208,-0.6522,-0.8673,-0.7402,0.6021,-0.1878,-0.2907,4.1138,-0.0709,-1.3373,-0.7287,-0.3965,3.1858,-0.2041,-0.4226,-0.0207,-2e-04,0.3071,0.2389,0.6824,3.9744,0.1453,0.1539,2.2149,-0.247,0.343,4.0751,-0.4597,-0.7402,0.4576,-0.7084,1.6214,0.3802,0.3776,0.9643,-0.0686,5.3222,0.5146,0.8345,0.3681,0.8935,2.0346,-0.4232,-0.5828,-0.3469,4.2374,1.4076,-0.0964,0.3475,1.2854,0.9112,1.3562,0.8493,4.5789,1.2244,1.3494,2.2147,-0.2339,-0.4265,3.815,1.1977
"PA14_13770",-0.2945,0.3672,1.4176,-0.4821,0.8515,-1.0194,-0.2423,-0.5742,3.2895,0.0542,-0.7609,0.6191,-0.1011,-0.0205,-1.1192,-0.1597,-0.7064,-0.8173,2.5026,-0.6404,-0.8034,-0.4638,2.9551,-0.5549,-0.5452,-0.8648,2.3449,-1.1671,-1.0562,-1.118,-0.5473,0.2359,0.0057,3.5274,0.1064,-1.1319,-0.7223,-0.5813,1.2781,-0.4841,-0.5997,-0.0576,0.0201,0.1079,-0.2008,0.2629,2.7654,-0.3242,-0.278,1.3663,-0.2552,-0.4354,2.5269,-1.0448,-1.4132,0.036,-0.1684,1.003,1.2725,-0.5457,1.1667,-0.3707,2.1682,0.4247,0.3221,0.3059,0.0195,-0.4508,-0.4854,-0.9248,-0.5361,0.5821,0.7861,0.0182,0.5374,1.7766,0.9056,1.2286,0.6668,3.3722,0.3843,0.5737,1.2903,-0.7246,-0.6607,2.2382,0.5408
"PA14_13780",0.0356,1.885,0.4303,-0.5243,3.6153,-0.3751,-0.3092,0.8281,1.4328,-0.0321,-0.5722,1.2572,0.5987,1.3473,-0.627,-0.6501,-0.3126,-0.8405,1.5789,-0.3604,0.0386,0.0796,3.3988,-0.5801,0.6596,-0.8529,1.7406,-0.7947,-0.4294,-0.6135,-0.1743,0.2822,-0.1022,4.22,0.1033,-0.8133,-0.8828,-0.629,0.1642,-0.3267,1.0566,-0.3799,-0.6402,-0.8858,-0.8436,-0.5046,3.0523,0.2856,-0.806,1.252,0.6722,-0.8225,2.7266,-0.8577,-0.9962,-0.1283,-0.7304,1.2272,1.0836,0.2489,1.1489,-0.5232,1.5383,0.2678,0.037,-0.0637,0.1403,-0.9644,-0.5602,-0.5076,-0.781,0.3501,1.0334,0.3833,0.4845,1.7943,0.8983,1.4461,0.4435,3.6787,0.1638,0.4608,1.7425,-0.6549,-0.5248,2.4065,0.4314
"PA14_13800",-0.1079,2.9351,-0.0872,-0.5407,7.0582,-0.8424,-0.1716,0.3516,8.4798,0.2298,-0.2912,1.1633,2.0764,3.4619,0.6989,-0.5011,-0.9052,-0.1442,1.3648,-0.0763,-0.228,-0.1037,5.1309,-0.4956,1.636,-1.0312,1.0068,-0.2972,0.1619,-1.1389,0.7111,-0.2973,-0.1441,7.1996,0.0609,-0.492,-0.6464,-0.1656,6.2857,-0.5833,1.5892,0.3501,-0.7593,-0.5093,-0.6708,-0.4076,4.1844,0.407,-0.4367,2.1362,2.019,-0.258,3.955,-0.3624,-0.6386,-0.1236,-0.1739,0.769,0.1877,0.8395,0.1693,0.2718,1.6597,0.1752,-0.5306,-0.4863,-0.6044,-0.851,-1.0492,-0.1328,-0.1197,0.6239,2.2968,-0.005,0.0677,1.1061,0.737,0.8648,-0.6369,4.8797,-0.4923,-0.0249,1.3853,-0.2045,-0.6462,2.3818,0.6479
"PA14_13810",-0.2697,2.9708,-0.3848,-0.0731,6.0364,0.3407,0.006,0.8445,3.18,0.0869,0.2521,1.9557,2.1014,3.8535,0.5811,-0.2895,-0.5348,-0.328,0.8871,0.3109,-0.1374,0.6446,3.965,-0.4644,1.0655,0.4212,0.5937,-0.282,-0.353,-0.7964,0.2362,-0.4078,0.1756,6.8419,-0.3859,-0.296,-0.9286,-0.4224,0.5465,-0.0969,2.0475,-0.2965,0.1224,-0.1675,-0.2239,-1.1029,3.7982,-0.119,-0.6545,2.1207,1.8063,-0.6431,3.7211,-0.0806,-0.4869,-0.0035,-0.6256,0.3566,0.176,0.4579,-0.2661,0.7291,1.7539,0.1335,-0.6376,-0.9203,-1.0027,0.1922,-0.241,-0.6598,0.2315,0.9539,1.5322,-0.2195,-0.0568,0.4166,0.1995,-0.1216,-0.6929,4.1863,-1.0273,-0.0185,1.0297,-0.6136,-0.8696,1.8666,1.0341
"PA14_13830",0.0375,3.1843,0.0392,-0.4175,6.8108,0.2201,-0.2289,1.1867,10,-0.3505,0.7049,2.2911,0.9404,3.9788,0.3114,-0.1872,0.2906,0.2701,0.4763,-0.1219,-0.1859,0.7326,4.3317,-0.326,1.5162,-0.0496,0.4012,-0.6857,0.1064,-0.5028,0.0091,-0.7212,0.6518,7.2269,-0.4553,0.2208,-0.5587,-0.4073,10,-0.5512,1.0463,-0.4479,-0.068,-0.4829,-0.3197,-0.9897,4.1031,-0.0625,-0.4518,2.0942,1.5271,-1.4744,4.145,0.377,-0.5349,0.2272,-0.4795,1.2825,-0.4446,0.8858,-0.09,0.4495,0.7394,-0.4449,-0.7561,-0.5818,-0.5646,-0.0788,-0.2729,-0.5994,-0.0275,0.3619,2.1974,-0.2446,0.0295,0.3079,-0.3013,-0.0612,-0.2872,4.9336,-0.9121,0.2036,0.7104,-0.2404,-0.545,2.3187,1.3058
"PA14_13840",0.5019,3.1027,-0.6946,-0.7739,5.35,0.1867,-0.4987,0.5013,8.5783,-0.1168,1.2295,2.0832,-0.2571,2.6571,0.4933,0.1784,0.3,0.339,1.3724,-0.5213,-0.039,-0.1316,5.2332,-0.2312,0.8364,-0.3547,0.528,-0.552,0.199,-0.2338,0.3957,-0.3749,0.1625,6.9409,-0.5904,-0.0997,0.3902,-0.3371,6.7605,0.3872,2.0137,0.1216,0.4211,-0.2453,0.0474,-0.2976,5.2341,-0.3563,-0.1118,3.1938,1.0098,-0.4243,4.6204,-1.0447,-0.6674,0.1944,-0.3,1.0945,-0.4593,1.2154,-0.6726,0.561,0.8757,-0.2493,-0.4113,-0.8587,-0.1217,-1.3418,-0.327,-0.0264,-0.5638,-0.4286,1.568,-0.1848,-0.7547,0.3214,-0.2429,-0.4071,0.0801,4.8138,-1.1295,-0.3878,1.1794,-0.8638,-0.6767,2.5441,0.8847
"PA14_13850",0.5382,2.1282,-0.7334,-0.3244,3.9608,0.0699,-0.1558,0.0922,7.3925,0.1008,1.026,1.3247,0.4143,2.6469,0.4886,-0.0042,0.128,0.5651,0.1973,-0.274,0.5879,-0.0733,3.691,-0.189,1.232,-0.2382,-0.4599,0.3015,-0.3722,-0.137,-0.2898,-0.0017,-0.0546,5.5325,-0.8253,0.4959,-0.1172,-0.5806,4.8162,0.1369,1.2759,0.2996,-0.1035,0.5263,-0.3099,0.0785,3.7889,0.6231,-0.4096,1.4825,1.1543,-1.5828,3.2347,-0.1233,-0.8492,-0.3249,-0.8522,1.2236,0.8926,-0.1366,0.3858,0.8595,-0.7133,-1.1304,-0.8483,-0.9522,-0.8376,-0.8258,-0.0517,-0.0262,-1.5935,0.0376,0.5267,-0.8581,-0.6362,-0.5972,-0.246,-0.2897,0.0874,2.6795,-0.2674,-0.629,0.8339,-1.3159,-1.6967,0.8989,-0.2845
"PA14_13860",-0.3045,0.3117,0.0722,-0.1486,0.773,-0.6162,0.1245,0.8712,-1.0561,-0.4294,-0.0473,1.1698,2.5133,1.5503,-0.1608,-0.1042,0.1046,-0.155,0.6931,-1.4534,-2.3866,-1.97,-1.2488,0.2363,0.4985,-0.9741,0.8094,0.0942,-1.7347,0.5107,-0.0359,-0.1799,-0.3709,-0.2236,0.1455,1.8019,-0.3088,-0.2132,0.54,0.6421,0.1801,-0.4189,0.3072,0.5574,0.7194,0.2818,-0.858,-1.7369,-0.1313,-1.1468,0.8956,-0.2187,-0.7126,0.0139,0.9191,-0.8553,0.3092,1.0323,-0.4402,1.4768,-0.6799,1.5997,0.9287,0.1476,-0.0689,0.3877,1.2746,-0.2859,-0.175,0.1441,0.4999,-0.0943,1.4932,-0.3879,-0.224,0.7387,0.6427,-0.632,0.3808,-1.0684,-0.4987,0.3689,0.0518,0.663,0.0404,0.3506,0.0635
